Sample,BiO1.5,BiO1.5,GeO2,T g,T x,T p,DT,S,d
,,,,(degC),(degC),(degC),(degC),(degC),(g cm-3)
1,50,0,50,,,,,,
2,65,35,0,319,385,403,66,3.7,
3,50,50,0,,,,,,
4,35,65,0,404,490,519,86,6.2,6.59
5,70,15,15,,,,,,
6,45,15,40,,,,,,
7,15,15,70,,,,,,
8,30,20,50,448,631,703,183,29.4,5.67
9,50,25,25,409,501,543,92,9.4,7.07
10,60,30,10,,,,,,7.71
11,33,33,33,426,607,633,181,11,5.99
12,45,40,15,385,517,595,132,26.7,6.94
13,20,40,40,,,,,,4.88
14,30,50,20,,,,,,6.01
15,15,70,15,,,,,,
,,,,,,,,,
Error,+-1,+-1,+-1,+-2,+-2,+-2,,,+-0.02
