Sample/unit,d   Al   max     (ppm),d   Al   iso     (ppm),C  Qe (MHz)
LaAl,LaAl,LaAl,LaAl
Al(IV),58,77,5.3
Al(V),36,45,4.7
Al(VI),12,14,3.6
,,,
La   0.66   0.55   ( 0 ),La   0.66   0.55   ( 0 ),La   0.66   0.55   ( 0 ),La   0.66   0.55   ( 0 )
Al(IV),49,69,5.6
Al(V),-,36,4.2
Al(VI),-,3,4.3
,,,
La   0.96   0.93   ( 0 ),La   0.96   0.93   ( 0 ),La   0.96   0.93   ( 0 ),La   0.96   0.93   ( 0 )
Al(IV),52,72,5.6
Al(V),-,38,5.2
Al(VI),-,5,4.2
,,,
La   1.15   0.90   ( 0 ),La   1.15   0.90   ( 0 ),La   1.15   0.90   ( 0 ),La   1.15   0.90   ( 0 )
Al(IV),53,73,5.5
Al(V),-,40,4.7
Al(VI),-,8,4.4
,,,
La   0.89   0.89   ( 10.6 ),La   0.89   0.89   ( 10.6 ),La   0.89   0.89   ( 10.6 ),La   0.89   0.89   ( 10.6 )
Al(IV),56,76,5.8
Al(V),-,39,4.9
Al(VI),-,5,4.7
,,,
La   0.76   0.68   ( 16.6 ),La   0.76   0.68   ( 16.6 ),La   0.76   0.68   ( 16.6 ),La   0.76   0.68   ( 16.6 )
Al(IV),55,76,5.8
Al(V),-,39,5.0
Al(VI),-,5,4.4
,,,
La   1.46   0.24   ( 35.4 ),La   1.46   0.24   ( 35.4 ),La   1.46   0.24   ( 35.4 ),La   1.46   0.24   ( 35.4 )
Al(IV),69,88,5.6
Al(V),-,41,5.0
Al(VI),-,6,4.7
,,,
La   1.42   0.61   ( 36.2 ),La   1.42   0.61   ( 36.2 ),La   1.42   0.61   ( 36.2 ),La   1.42   0.61   ( 36.2 )
Al(IV),69,90,5.9
Al(V),-,46,4.4
Al(VI),-,8,4.5
