City,Site,T (degC),RH (%),c(SO2) (mg/m3),c(NO2) (mg/m3),c(O3) (mg/m3)
Athens,T60,19.0,57.6,42.5,89.7,23.0
,,20.1,59.9,43.2,77.2,19.7
,,,,,,
Krakow,T70,4.3,74.0,22.9,30.9,57.4
,,7.9,74.7,19.9,30.4,60.2
,,,,,,
London,T80,9.8,-,-,-,-
,,12.0,,,,
,,,,,,
Prague,T90,6.4,72.4,9.8,54.2,32.9
,,8.6,72.5,8.7,49.5,33.2
,,,,,,
Rome,T100,11.0,76.3,1.2,16.5,45.4
,,15.8,72.1,1.3,14.4,52.8
,,,,,,
Riga I,T110,4.47,74.2,6.7,29.2,70.2
,,6.63,80.2,5.8,27.0,59.4
,,,,,,
Riga II,T111,4.17,76.7,8.7,19.2,65.5
,,6.30,82.6,6.8,19.0,53.6
