ZrF4,BaF2,AlF3,NaF,LaF3,ErF3,T g (degC+-1degC),T x (degC+-2degC),T x-T g (degC+-4degC),n D+-0.0002,r+-0.005 (g cm-3),[Er(III)](1020 cm-3 +/-3%)
53,20,3,20,4.0,,258,363,105,1.4998,4.273,
53,20,3,20,3.2,0.8,-,-,-,-,-,1.48
53,20,3,20,2.4,1.6,-,-,-,-,-,2.98
53,20,3,20,0.8,3.2,-,-,-,-,-,5.96
53,20,3,20,,4.0,261,362,101,1.4978,4.339,7.46
51,23,4,16,,6.0,272,378,106,1.5000,4.424,11.0
51,21,4,16,,8.0,275,374,99,1.4998,4.465,14.7
48,22,4,16,,10.0,279,375,96,1.5010,4.552,18.6
45,25,4,14,,12.0,286,378,92,1.5031,4.707,22.5
46,23,3,14,,14.0,292,375,83,1.5041,4.737,26.1
44,24,3,13,,16.0,301,394,93,1.5074,4.774,29.6
43,23,3,13,,18.0,312,398,86,1.5071,4.824,33.4
