Sample,Sample,Si-O,Al-O,Ca-O,,O-O
CaO.39,r (A),-,1.765+-0.005,2.36+-0.01,-,2.885+-0.01
,N,-,4.1+-0.2,4.7+-0.3,-,4.83+-0.2
,s (A),-,0.06+-0.01,0.12+-0.02,,0.19+-0.02
,,,,,,
Ca10.35,r (A),1.62+-0.01,1.76+-0.01,2.35+-0.01,2.65+-0.01,2.89+-0.01
,N,4.1+-0.2,4.1+-0.2,4.5+-0.3,0.65+-0.3,4.33+-0.2
,s (A),0.05+-0.01,0.052+-0.01,0.12+-0.02,0.17+-0.02,0.20+-0.02
,,,,,,
Ca20.31,r (A),1.62+-0.01,1.76+-0.01,2.35+-0.01,2.65+-0.01,2.90+-0.01
,N,4.0+-0.2,4.1+-0.2,4.5+-0.3,0.97+-0.3,4.05+-0.2
,s (A),0.05+-0.01,0.065+-0.01,0.12+-0.02,0.14+-0.02,0.22+-0.02
