Name,Experimental,Experimental,Experimental,Experimental,Experimental,Model from [18],Model from [18],Model from [18],Model from [18],Percent difference,Percent difference,Percent difference,Percent difference
Name,di  (mm),V  i  - (mm3),VR,VP,b,V  i  - (mm3),VR,VP,b,V  i  -,VR,VP,b
SBN 12,10.5,36.7,0.528,0.163,0.31,34.54,0.704,0.157,0.14,6%,-33%,4%,55%
SBN 25,12.025,54.8,0.308,0.256,0.44,51.88,0.508,0.239,0.25,5%,-65%,7%,42%
SBN 30,13,62,0.126,0.286,0.59,65.55,0.388,0.298,0.31,-6%,-208%,-4%,47%
SBN 35,13.6,70.1,0.090,0.324,0.59,75.05,0.329,0.333,0.34,-7%,-265%,-3%,42%
SBN 14,11.25,35.2,0.343,0.113,0.54,42.48,0.686,0.164,0.15,-21%,-100%,-45%,72%
SBN 63,11.95,49.3,0.320,0.256,0.42,50.91,0.593,0.202,0.20,-3%,-85%,21%,52%
SBN 59,13.1,55.3,0.300,0.163,0.54,67.07,0.565,0.214,0.22,-21%,-88%,-31%,59%
SBN 55,13.625,56.8,0.280,0.158,0.56,75.46,0.415,0.283,0.30,-33%,-48%,-79%,46%
