Glass,Coordination number of Ge atoms (%),Coordination number of Ge atoms (%),Coordination number of Ge atoms (%),Coordination number of Ge atoms (%),
,4,5,6,Average,
SG00,96.3 (385),3.7 (15),0,4.04,
SG15,65.9 (224),32.4 (110),1.7 (6),4.36,
SG30,73.2 (205),26.1 (73),0.7 (2),4.27,
,,,,,
,Coordination number of O atoms (%),Coordination number of O atoms (%),Coordination number of O atoms (%),Coordination number of O atoms (%),Coordination number of O atoms (%)
,0,1,2,3,Average
SG00,0,0.1 (1),97.9 (783),2.0 (16),2.02
SG15,0,4.5 (33),90.8 (672),4.7 (35),2.02
SG30,0.4 (3),23.1 (157),75.7 (515),0.7 (5),1.76
