Glass system,r (gcm-3),CN,Fe2+ at.%,Fe3+ at.%,P at.%,O at.%
Fe3(P2O7)2,3.2,1,-,-,-,3.17
Fe3(P2O7)2,3.2,2,-,-,-,53.49
Fe3(P2O7)2,3.2,3,-,-,-,9.68
Fe3(P2O7)2,3.2,4,2.78,4.84,19.05,0.32
Fe3(P2O7)2,3.2,5,1.83,4.21,-,-
Fe3(P2O7)2,3.2,6,0.16,0.48,-,-
Fe4(P2O7)3,3.04,1,-,-,-,4.06
Fe4(P2O7)3,3.04,2,-,-,-,60.06
Fe4(P2O7)3,3.04,3,-,-,-,3.61
Fe4(P2O7)3,3.04,4,-,7.35,19.35,-
Fe4(P2O7)3,3.04,5,-,5.10,-,-
Fe4(P2O7)3,3.04,6,-,0.45,-,-
Fe(PO3)3,3.04,1,-,-,-,11.08
Fe(PO3)3,3.04,2,-,-,-,57.23
Fe(PO3)3,3.04,3,-,-,-,0.92
Fe(PO3)3,3.04,4,-,2.92,22.92,-
Fe(PO3)3,3.04,5,-,4.46,0.15,-
Fe(PO3)3,3.04,6,-,0.31,-,-
