,CH2Ot KFT,T f,T g,Density,d,Peak position,Peak position,Peak position,A 5200,A 4600,A 4100,COH,CH2O,CH2Ot IR
,[wt.%],[K],[K],[g/l],[mm],[cm-1],[cm-1],[cm-1],[mm-1],[mm-1],[mm-1],[wt.%],[wt.%],[wt.%]
NCB5_dry (1atm),-,728,714+-2,2133+-2,,-,-,-,-,-,-,-,-,-
NCB5_dry (500MPa),-,710,697+-2,2241+-3,,-,-,-,-,-,-,-,-,-
NCB5_1wt.%-I,0.96+-0.03,648,654+-1,2201+-4,0.2840,-,4583,4125,-,0.171,0.242,0.93+-0.03,-,0.93+-0.01
NCB5_1wt.%-II,1.03+-0.06,,,,0.2880,,,,-,0.169,0.237,0.88+-0.01,-,0.88+-0.01
NCB5_2wt.%-I,2.17+-0.07,-,-,2225+-5,0.2920,5200,4579,4125,0.005,0.363,0.497,2.02+-0.04,0.26+-0.01,2.28+-0.04
NCB5_2wt.%-II,1.94+-0.08,,,,0.2880,,,,0.003,0.327,0.452,2.06+-0.04,0.22+-0.01,2.28+-0.04
NCB5_3wt.%-I,2.93+-0.08,601,595+-6,2232+-4,0.3050,5205,4580,4122,0.026,0.481,0.644,2.70+-0.07,0.37+-0.01,3.07+-0.07
NCB5_3wt.%-II,2.84+-0.08,,,,0.2970,,,,0.014,0.435,0.584,2.57+-0.06,0.34+-0.01,2.91+-0.06
NCB5_5wt.%-I,4.93+-0.10,531,524+-3,2240+-4,0.3020,5208,4577,4120,0.055,0.715,0.950,4.31+-0.13,1.07+-0.04,5.38+-0.14
NCB5_5wt.%-II,4.71+-0.11,,,,0.3150,,,,0.048,0.675,0.896,3.97+-0.12,0.90+-0.03,4.87+-0.12
NCB15_dry (1atm),-,775,776+-1,2301+-3,,-,-,-,-,-,-,-,-,-
NCB15_dry (500MPa),-,770,771+-1,2364+-5,0.2900,-,4601,-,-,0.008,-,0.24+-0.01,-,0.24+-0.01
NCB15_1wt.%-I,0.77+-0.05,-,-,2366+-5,0.2930,-,4588,4114,-,0.098,0.156,0.71+-0.01,-,0.71+-0.01
NCB15_1wt.%-II,0.73+-0.07,,,,0.2880,,,,-,0.094,0.161,0.77+-0.01,-,0.77+-0.01
NCB15_2wt.%-I,2.06+-0.07,675,670+-1,2351+-3,0.2950,5204,4588,4118,0.019,0.241,0.366,1.88+-0.03,0.09+-0.01,1.97+-0.03
NCB15_2wt.%-II,2.04+-0.08,,,,0.2950,,,,0.017,0.239,0.364,1.87+-0.03,0.09+-0.01,1.96+-0.03
NCB15_4wt.%-I,3.82+-0.11,608,607+-2,2323+-3,0.2950,5202,4586,4114,0.072,0.426,0.642,3.33+-0.08,0.33+-0.01,3.66+-0.08
NCB15_4wt.%-II,3.84+-0.08,,,,0.2910,,,,0.072,0.439,0.667,3.42+-0.08,0.36+-0.01,3.78+-0.08
NCB15_6wt.%-I,5.53+-0.12,560,552+-2,2290+-4,0.2880,5201,4583,4110,0.167,0.612,0.939,4.81+-0.14,0.82+-0.07,5.63+-0.16
NCB15_6wt.%-II,5.70+-0.11,,,,0.2920,,,,0.164,0.608,0.932,4.87+-0.15,0.81+-0.07,5.69+-0.16
NCB15_8wt.%-I,7.53+-0.10,509,510+-1,2256+-3,0.2900,5204,4585,4104,0.283,0.744,1.174,5.84+-0.25,1.40+-0.06,7.24+-0.26
NCB15_8wt.%-II,8.99+-0.14,,,,0.2950,,,,0.268,0.736,1.151,5.94+-0.26,1.34+-0.06,7.28+-0.26
NCB25_dry (1atm),-,762,760+-1,2426+-2,,-,-,-,-,-,-,-,-,-
NCB25_dry (500MPa),-,758,748+-1,2471+-3,0.3160,-,-,-,-,0.012,-,0.17+-0.01,-,0.17+-0.01
NCB25_1wt.%-I,1.18+-0.05,696,696+-1,2466+-5,0.2980,-,4604,4112,-,0.097,0.145,0.91+-0.01,-,0.91+-0.01
NCB25_1wt.%-II,1.07+-0.05,,,,0.3190,-,,,-,0.102,0.152,0.89+-0.01,-,0.89+-0.01
NCB25_2wt.%-I,1.85+-0.07,669,665+-1,2464+-5,0.3100,-,4600,4110,-,0.182,0.273,1.53+-0.02,-,1.53+-0.03
NCB25_2wt.%-II,1.78+-0.08,,,,0.2950,,,,-,0.176,0.262,1.53+-0.02,-,1.53+-0.02
NCB25_3wt.%-I,2.68+-0.08,637,633+-1,2449+-3,0.2910,5179,4599,4106,0.011,0.275,0.401,2.40+-0.05,0.26+-0.01,2.66+-0.04
NCB25_3wt.%-II,2.75+-0.09,,,,0.2950,,,,0.015,0.283,0.414,2.37+-0.05,0.26+-0.01,2.63+-0.04
NCB25_5wt.%-I,4.17+-0.13,592,586+-3,2423+-3,0.2920,5171,4599,4103,0.052,0.424,0.625,3.55+-0.11,0.68+-0.02,4.23+-0.11
NCB25_5wt.%-II,4.27+-0.09,,,,0.2880,,,,0.056,0.434,0.630,3.60+-0.11,0.69+-0.02,4.29+-0.11
NCB25_6wt.%-I,5.30+-0.12,567,562+-2,2406+-3,0.2950,5170,4598,4099,0.090,0.511,0.758,4.17+-0.16,1.13+-0.04,5.30+-0.16
NCB25_6wt.%-II,5.11+-0.13,,,,0.2900,,,,0.090,0.515,0.765,4.24+-0.16,1.10+-0.04,5.34+-0.16
NCB25_7wt.%-I,6.22+-0.11,544,541+-1,2387+-4,0.3050,5163,4601,4101,0.129,0.579,0.871,4.56+-0.17,1.51+-0.05,6.08+-0.18
NCB25_7wt.%-II,6.06+-0.16,,,,0.3020,,,,0.138,0.592,0.892,4.64+-0.17,1.53+-0.05,6.17+-0.18
