Glass component or aqueous form,Hydrated species,DGdeg (kJ/mol),logK,Solubility=f(pH)
Li2SiO3,"Li+, H2SiO3",-95.15,16.67,log([X  i ])=10.38 - pH
Na2SiO3,"Na+, H2SiO3",-120.57,21.12,log([X  i ])=12.61 - pH
CaSiO3,"Ca2+, H2SiO3",-67.43,11.81,log([X  i ])=15.91 - 2 pH
CaO,Ca(OH)2,-54.94,9.62,log([X  i ])=9.62
FeSiO3,"Fe2+, H2SiO3",-61.13,10.71,log([X  i ])=6.61 - 2 pH
FeO,Fe(OH)2,-2.01,0.35,log([X  i ])=0.352
Fe(OH)  2,Fe2+,-75.77,13.33,log([Xi])=13.63-2 pH
Fe2O3,Fe(OH)3,63.47,-11.16,log([X  i ])=-5.56
Fe(OH)  3,Fe(OH)2 +,13.01,-2.29,log([X  i ])=-7.84-pH
Fe(OH)  3,Fe(OH)2 +,-13.77,2.42,log([Xi])=-3.15+2 pH
Fe(OH)  3,Fe3+,-27.57,4.85,log([Xi])=-0.72-3 pH
Fe(OH)  3,Fe(OH)4 -,-77.24,-13.53,log([X  i ])=-19.09+pH
MoO3,MoO4 2-,-21.75,3.81,log([X  i ])=3.81+2 pH
Al2O3,Al(OH)3,-32.34,5.66,log([X  i ])=2.83
Al2O3,AlO(OH),12.72,-2.23,log([X  i ])=-1.11
SiO2,H2SiO3,23.39,-4.10,log([X  i ])=-4.10
SiO(OH)  2,HSiO3 -,57.07,-10.00,log([X  i ])=-14.10+pH
SiO(OH)  2,SiO3 2-,68.45,-12.04,log([Xi])=-26.09+2 pH
B2O3,B(OH)3,-41.55,17.27,log([X  i ])= 8.64
B(OH)  3,H2BO3 -,52.43,-9.18,log([X  i ])=8.09 + pH
B(OH)  3,HBO3 2-,72.68,-12.73,log([X  i ])=-4.64 + 2 pH
B(OH)  3,BO3 3-,78.71,-13.79,log([X  i ])=-18.43 + 3 pH
