Initial state,Final state,Aed  (s-1),Amd  (s-1),b,trad  (ms)
3F4,3H6,402,,1.00,2491
3H5,3H6,333,78.85,0.99,2410
3H5,3F4,3,0.14,0.01,2410
3H4,3H6,1794,,0.90,510
3H4,3F4,148,19.08,0.08,510
3H4,3H5,25,8.04,0.02,510
3F3,3H6,2472,,0.77,314
3F3,3F4,79,55.30,0.04,314
3F3,3H5,571,,0.19,314
3F3,3H4,6,0.33,0,314
3F2,3H6,846,,0.38,314
3F2,3F4,1050,,0.48,314
3F2,3H5,278,,0.13,314
3F2,3H4,27,,0.01,314
3F2,3F3,0.01,0.02,0,314
1G4,3H6,1513,,0.45,298
1G4,3F4,198,8.17,0.06,298
1G4,3H5,1000,138.15,0.34,298
1G4,3H4,379,33.58,0.12,298
1G4,3F3,66,3.23,0.02,298
1G4,3F2,17,,0.01,298
