Composition (mol%) MF2,Temperature (degC),"Main frequencies       ,  c","Main frequencies       ,  c","Main frequencies       ,  c","Main frequencies       ,  c","Main frequencies       ,  c","Main frequencies       ,  c",,
Composition (mol%) MF2,Temperature (degC),CP,T   P   *,TP,OP,TD,CD,,
KF-ZnF2,KF-ZnF2,KF-ZnF2,KF-ZnF2,KF-ZnF2,KF-ZnF2,KF-ZnF2,KF-ZnF2,,
21,750,,,474,,210,,,
21,850,,,474,,210,,,
21,950,,,471,,210,,,
33,850,,,474,,210,,,
33,950,,,472,,210,,,
33,1000,,,470,,210,,,
42,950,,477,,,204,,,
50,930,,483,,,200,,,
50,950,,483,,,200,,,
50,970,,483,,,200,,,
66,880,,486,,(364),(180),,,
66,950,,486,,(364),(180),,,
80,800,,(486),,(364),(180),,,
80,950,,(486),,(364),(180),,,
90,950,,(488),,364,(180),,,
,,,,,,,,,
CsF-ZnF2,CsF-ZnF2,CsF-ZnF2,CsF-ZnF2,CsF-ZnF2,CsF-ZnF2,CsF-ZnF2,CsF-ZnF2,,
33,800,,,473,,190,,,
33,950,,,469,,190,,,
50,800,,480,,,185,,,
66,820,,493,,(353),170,,,
66,950,,493,,(353),170,,,
,,,,,,,,,
KF-PbF2,KF-PbF2,KF-PbF2,KF-PbF2,KF-PbF2,KF-PbF2,KF-PbF2,KF-PbF2,,
10,900,404,,,,,200,,
20,800,404,,,,,195,,
30,800,404,,,,,195,,
42,550,404,,,,,195,,
42,600,404,,,,,195,,
42,650,404,,,,,195,,
42,800,404,,,,,195,,
50,800,404,,,,,195,,
66,700,396,,,,,192,,
66,750,396,,,,,192,,
66,800,396,,,,,198,,
80,800,394,,,,,196,,
