Composition (R=molar ratio MO to B2O3),T g +-7 degC,Density (g/cm3) +-1%,T g +-7 degC,Density (g/cm3) +-1%,T g +- 7 degC,Density (g/cm3) +-1%,T g +-7 degC,Density (g/cm3) +-1%
R,Mg,Mg,Ca,Ca,Sr,Sr,Ba,Ba
0.00,260,1.81,260,1.81,260,1.81,260,1.81
0.05,,,,,544,2.14,,
0.05,,,,,276,,,
0.05,,,,,279,,,
0.10,,,279,,293,,284,
0.10,,,631,,569,,491,
0.20,276,,638,,587,2.50,526,2.68
0.20,643,,,,,,,
0.30,648,2.27,642,,615,2.70,,
0.30,280,,647,,,,583,
0.32,,,642,,,,,
0.35,,,643,2.45,,,,
0.40,286,,,,,,,3.35
0.40,643,2.31,649,2.48,637,2.92,603,
0.50,,,656,2.56,638,3.11,605,
0.60,,2.46,,,,,,
0.60,639,2.42,,,641,3.23,603,3.71
0.66,,,658,2.68,,,,
0.70,,,,,,,,
0.80,632,2.44,,,628,3.42,576,3.95
0.81,,,652,2.72,,,,
0.90,,,,,,,559,4.09
1.00,643,,,2.79,,3.48,,
1.00,646,2.51,635,,604,,,
1.20,634,2.54,,,577,3.56,512,4.22
1.22,,,613,2.80,,,,
1.30,,,,,,,497,4.31
1.35,,,,,,,,
1.40,633,,595,,558,3.65,,
1.50,,,,,,,485,4.40
1.60,,,,,543,,,
1.70,,,,,,,484,4.50
1.80,,,,,534,,480,
1.80,,,,,534,,,
1.90,,,,,,,484,
2.00,,,,,,,484,4.53
