Sample,H 404.7 nm,g 435.8 nm,F 486.1 nm,e 546.07 nm,d 587.6 nm,C 656.3 nm,n  F -n  C  (x10-3)+-0.02,n  d +-0.03,MRg  (cm3)+-0.06
CASM,1.70073,1.68562,1.68088,1.67015,1.66647,1.66100,19.87,33.53,8.61
,,,,,,,,,
CAYB1,1.70121,1.68620,1.68266,1.67075,1.66708,1.66381,18.85,35.39,8.59
CAYB3,1.70647,1.69113,1.68605,1.67545,1.67342,1.66644,19.61,34.35,8.61
CAYB5,1.71071,1.69568,1.69158,1.67992,1.67609,1.67264,18.94,35.70,8.57
,,,,,,,,,
CAER05,1.70121,1.68586,1.68239,1.67056,1.66673,1.66337,19.03,35.04,8.68
CAER1,1.70159,1.68639,1.68257,1.67093,1.66732,1.66399,18.58,35.92,8.60
CAER2,1.70258,1.68739,1.68302,1.67375,1.66838,1.66455,18.46,36.20,8.77
CAER4,1.70763,1.69248,1.68797,1.67829,1.67458,1.66761,20.36,33.14,8.62
CAER6,1.71203,1.69679,1.69292,1.68264,1.67669,1.67327,19.65,34.43,8.57
CAER7,1.71573,1.70047,1.69506,1.68422,1.68225,1.67518,19.88,34.33,8.59
CAER8,1.71900,1.70396,1.69720,1.68763,1.68398,1.67689,20.30,33.69,8.62
,,,,,,,,,
CAER2YB3,1.71090,1.69582,1.69167,1.67996,1.67587,1.67242,19.25,35.11,8.59
CAER2YB4,1.71099,1.69564,1.69274,1.68018,1.67676,1.67322,19.52,34.67,8.58
,,,,,,,,,
CAYB2ER05,1.70601,1.69094,1.68471,1.67523,1.67293,1.66589,18.82,35.75,8.63
CAYB2ER1,1.70647,1.69136,1.68578,1.67572,1.67422,1.66716,18.62,36.20,8.63
CAYB2ER2,1.71003,1.69472,1.68708,1.67882,1.67467,1.66769,19.38,34.81,8.58
CAYB2ER3,1.71026,1.69522,1.69194,1.67948,1.67604,1.67255,19.38,34.88,8.64
CAYB2ER4,1.71231,1.69702,1.69292,1.68277,1.67732,1.67377,19.14,35.38,8.59
CAYB2ER5,1.71591,1.70070,1.69515,1.68444,1.68222,1.67518,19.96,34.17,8.61
