Glasses,THT (degC),Crystalline Phases
GF 0.0,1030,b-CaSiO3 and Ca10(PO4)6(OH)2
GF 3.0,867,Ca10(PO4)6F2 and CaSiO3
GF 3.0,,
GF 3.0,979,
GF 4.5,860,
GF 6.0,817,
GF 6.0,844,
GF 6.0,942,Ca10(PO4)6F2 and CaSiO3 (hexagonal)
GF 9.3,780,Ca10(PO4)6F2
GF 9.3,Ca10(PO4)6F2 and Ca4Si2O7F2,
GF 9.3,878,
GF 13.6,732,
GF 13.6,758,
GF 13.6,977,
GF 17.8,720,"Ca10(PO4)6F2, Ca4Si2O7F2 and CaF2"
GF 25.5,713,"Ca10(PO4)6F2, Ca4Si2O7F2 and CaF2"
SF 3.0,1040,SrSiO3 and Sr10(PO4)6F2
SF 4.5,860,SrSiO3 and Sr10(PO4)6F2
SF 4.5,1000,SrSiO3 and Sr10(PO4)6F2
SF 6.0,830,"SrSiO3, Sr10(PO4)6F2 and SrF2"
SF 6.0,960,"SrSiO3, Sr10(PO4)6F2 and SrF2"
