Oxides,Hematite,Goethite,Illitics,Illitics,Illitics,Illitics,Montmorillonitic,Kaolinitics,Kaolinitics
Oxides,RO,YO,I1,I2,I3,I4,M,K1,K2
Al2O3,0.50,0.41,14.1,13.1,15.8,16.50,9.15,17.8,36.7
SiO2,2.62,0.27,56.6,52.1,67.3,58.10,50.0,60.6,49.4
CaO,-,-,7.87,16.9,2.11,9.37,1.48,6.13,0.089
MgO,-,-,1.86,3.49,1.91,2.74,15.9,0.45,0.15
Fe2O3,95.7,-,4.71,4.26,4.22,5.22,3.15,0.98,0.42
FeO,-,83.9,-,-,-,-,-,-,-
K2O+Na2O,-,-,3.67,3.40,5.39,5.08,5.18,3.50,0.56
Others,0.47,2.72,3.68,0.84,0.92,-,0.97,-,0.18
,,,,,,,,,
LOI,0.71,12.7,9.80,5.91,2.35,5.91,14.5,11.0,12.5
,,,,,,,,,
BET surface area (m2/g),9.47,43.08,18.01,5.83,3.19,2.64,89.41,15.68,13.71
Pore volume (cm3/g),0.032,0.041,0.038,0.019,0.011,0.011,0.065,0.052,0.051
