,Glass 1,Glass 1,Glass 2,Glass 2,Glass 3,Glass 3,Glass 4,Glass 4,Error analysis (+-)
,Synthesis (wt%),Analysis (wt%),Synthesis (wt%),Analysis (wt%),Synthesis (wt%),Analysis (wt%),Synthesis (wt%),Analysis (wt%),Error analysis (+-)
SiO2,70.64,70.56,71.27,71.03,71.80,71.80,73.00,72.90,0.30
K2O,3.09,3.25,3.11,3.31,3.14,3.23,3.19,3.30,0.05
Li2O,14.68,14.68,14.81,14.75,14.92,14.81,15.16,15.22,0.20
Al2O3,3.38,3.21,3.40,3.17,3.43,3.29,3.49,3.33,0.05
P2O5,3.21,3.17,2.38,2.40,1.63,1.63,0.00,0.06,0.01
ZrO2,3.00,2.86,3.02,3.01,3.05,3.01,3.10,3.03,0.05
CeO2,1.88,1.94,1.89,2.05,1.91,1.96,1.94,1.93,0.08
V2O5,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.001
Others,,0.20,,0.17,,0.14,,0.12,
,,,,,,,,,
SiO2:Li2O (Mol),2.39:1,2.39:1,2.39:1,2.40:1,2.39:1,2.41:1,2.39:1,2.38:1,
