Host matrix,O2 (10-20  cm 2),O4 (10-20  cm 2),O6 (10-20  cm 2),References
Silica glass,3.33-4.19,5.38-5.60,6.42-6.68,[14]
Sodium borate glass,3.08-5.08,2.96-4.05,3.95-4.65,[12]
Lead borate glass,3.52-3.96,2.98-3.77,4.88-5.48,[13]
Silicate glass,4.08-5.23,2.97-3.65,2.39-3.42,[16]
Sodium borosilicate glass,,,,[16]
"R=0.25-0.70, K=0.31-0.43",4.70-5.39,3.39-3.83,3.84-4.50,
"R=0.40-1.00, K=0.93-1.33",4.94-5.38,3.50-3.85,3.43-4.03,
"R=0.33-3.00, K=2.00-6.00",4.04-5.65,2.74-3.95,2.40-3.63,
Aluminosilicate glass,8.87-9.49,3.74-4.13,3.72-4.12,[14]
Alumino-borosilicate glass,5.1-16.0,3.0-3.7,3.7-7.5,This study
Phosphate glass,,,[9],
30M2O-10Al2O3-60P2O5 (alkali),3.71-4.57,4.70-5.10,5.15-5.63,
30MO-10Al2O3-60P2O5 (alkaline earth),4.37-5.72,3.69-4.06,4.31-4.82,
Alkali tellurite glass,3.64-5.74,4.79-5.29,4.44-4.98,[23]
Alkaline earth tellurite glass,3.62-4.03,4.63-5.13,4.26-4.76,
10 Na 2  O -90TeO2,,,,
0.1-0.5 mol% Nd2O3,1.62-2.30,0.09-1.73,1.56-1.59,
1.0 mol% Nd2O3,5.24,3.22,4.47,[28]
1.5-2.5 mol% Nd2O3,1.63-1.71,2.15-2.48,1.74-1.90,
Phosphotellurite glass,3.08-3.14,2.92-3.98,4.26-4.76,[23]
Fluoride glass,1.95,3.65,4.17,[27]
Oxyfluoride glass,1.53,3.62,3.82,[27]
Fluorozirconate glass,1.95-2.10,3.65-3.80,4.62-5.53,[24]
Lead geminate glass,3.91,10.62,2.67,
YAG crystal,0.2,2.7,5.0,[6]
Y2O3 crystal,8.6,5.3,2.9,[6]
LaF3 crystal,0.3,2.6,2.5,[6]
