No.,TO2,ZnO,Li2O,Bi2O3,MoO3,WO3,La2O3,Na2O,Er2O3,ErF3,Yb2O3,YbF3
1,77.9,5,12,5,,,,,0.1,,,
2,77.4,5,12,5,,,,,0.1,,0.5,
3,76.9,5,12,5,,,,,0.1,,1.0,
4,75.9,5,12,5,,,,,0.1,,2.0,
5,74.9,5,12,5,,,,,0.1,,3.0,
6,77.0,5,12,5,,,,,1.0,,,
7,77.1,4.9,11.7,4.9,,,,,1.0,,0.5,
8,76.0,4.9,11.7,4.9,,,,,1.0,,1.0,
9,76.0,4.8,11.6,4.8,,,,,1.0,,1.9,
10,75.3,4.8,11.4,4.8,,,,,1.0,,2.8,
11,66.6,8.3,8.3,,16.6,,,,0.2,,,
12,72.1,,9.0,,18,,,,0.2,,0.7,
13,79.8,10,,,,,,10,0.2,,,
14,77.8,,,,,22,,,0.2,,,
15,64.0,,,,,25,10.1,,0.2,,0.7,
16,65.0,,,,,27,6,,1.0,,,1.0
17,65.0,,,,,26,6,,1.0,,,2.0
18,65.0,,,,,25.0,6.0,,1.0,,,3.0
19,65.0,,,,,24.0,6.0,,1.0,,,4.0
20,65.0,,,,,25.0,6.0,,1.0,,,5.0
21,65.0,,,,,25.0,8.0,,,1.0,,1.0
22,65.0,,,,,25.0,7.0,,,1.0,,2.0
23,65.0,,,,,25.0,6.0,,,1.0,,3.0
24,65.0,,,,,24.0,6.0,,,1.0,,4.0
25,65.0,,,,,25.0,6.0,,1.0,,3.0,
