Glass designation,Density [g/cm3],Tg [degC],CTE [degC-1] (x10-6),Refractive index
46-2-52_2.99,2.759,nm,nm,nm
49-2-49_3.05,2.899,450,6.5,1.5268
47-3-50_3.08,2.779,436,nm,1.5238
38-7-55_3.04,2.778,515,6.2,1.5219
33-11-56_3.10,2.736,525,6.3,1.5226
27-16-57_3.15,2.691,606,nm,1.5238
22-18-60_3.14,2.649,611,nm,1.5218
0-29-71_3.12,2.578,753,5.6,1.5284
55-3-43_3.23,3.033,433,6.2,1.5450
52-4-43_3.26,2.919,437,6.1,1.5325
40-11-49_3.24,2.855,449,5.3,1.5250
25-19-57_3.22,2.631,560,nm,1.5133
26-19-55_3.26,2.666,582,5.9,1.5184
13-25-62_3.22,2.571,633,5.6,1.5134
0-34-66_3.27,2.489,795,nm,1.5105
51-6-43_3.30,2.996,442,5.8,1.5446
44-11-45_3.34,2.811,452,5.3,1.5213
36-15-49_3.32,2.667,492,5.1,1.5086
28-20-52_3.35,2.573,533,nm,1.5033
61-3-37_3.44,3.321,441,6.8,1.5729
58-5-37_3.50,3.291,445,6.4,1.5767
55-6-39_3.45,2.995,465,nm,1.5426
63-3-34_3.56,3.552,453,6.6,1.6115
64-4-33_3.63,3.418,nm,nm,1.5946
70-2-29_3.81,3.736,462,nm,1.6323
