Series,,c,d,e,f,g,h,i,i *,j **
T (K),,1002,1002,1189,855,1093,793,793,1189,1189
Spectra,1,24.97,24.62,27.02,23.71,24.25,22.58,21.28,21.28,20.46
Spectra,2,26.29,24.97,27.30,23.95,24.26,22.78,21.88,21.88,21.01
Spectra,3,27.73,25.39,27.60,24.13,24.28,23.00,22.48,22.48,21.74
K2O (mol%),4,29.10,25.78,27.91,24.35,24.31,23.23,23.12,23.12,22.42
K2O (mol%),5,30.12,26.22,28.24,24.52,24.36,23.53,23.65,23.65,23.27
K2O (mol%),6,31.24,26.61,28.59,24.72,24.42,23.78,24.26,24.26,23.93
K2O (mol%),7,32.05,27.05,28.96,24.94,24.49,24.08,24.80,24.80,24.69
K2O (mol%),8,32.90,27.53,29.36,25.19,24.58,24.44,25.41,25.41,25.33
K2O (mol%),9,33.57,27.91,29.77,25.47,24.67,24.75,25.91,25.91,26.04
K2O (mol%),10,34.04,28.33,30.21,25.80,24.77,25.10,26.44,26.44,26.82
K2O (mol%),11,34.52,28.71,30.57,26.16,24.90,25.51,27.02,27.02,27.39
K2O (mol%),12,34.95,29.10,30.96,26.58,25.06,25.97,27.65,27.65,28.00
K2O (mol%),13,35.27,29.52,31.36,26.81,25.25,26.50,28.33,28.33,28.65
K2O (mol%),14,35.59,30.34,31.77,27.05,25.49,27.11,28.81,28.81,29.35
K2O (mol%),15,35.79,30.74,32.21,27.31,25.78,27.80,29.32,29.32,30.09
K2O (mol%),16,35.99,31.15,32.67,27.59,26.14,28.59,29.85,29.85,30.48
K2O (mol%),17,36.19,31.59,33.02,28.20,26.46,29.49,30.42,30.42,30.89
K2O (mol%),18,36.39,32.52,33.52,28.89,26.84,30.16,31.01,31.01,31.31
K2O (mol%),19,36.60,32.89,33.90,29.27,27.13,30.90,31.64,32.29,31.74
K2O (mol%),20,36.74,33.28,34.30,29.67,27.45,31.70,32.29,32.64,32.19
K2O (mol%),21,36.88,33.68,34.64,30.10,27.80,32.13,32.64,33.35,32.65
K2O (mol%),22,37.02,34.10,34.99,30.56,28.19,32.57,32.99,33.72,33.13
K2O (mol%),23,37.16,34.53,35.28,31.05,28.63,33.04,33.35,34.10,33.63
K2O (mol%),24,37.30,34.83,35.57,31.57,29.11,33.53,33.72,34.49,34.14
K2O (mol%),25,37.44,35.13,35.87,32.12,29.64,34.04,34.10,34.89,34.67
K2O (mol%),26,37.59,35.44,36.10,33.34,29.93,34.57,34.49,35.30,34.94
K2O (mol%),27,37.66,35.76,36.34,34.73,30.24,35.13,34.89,35.72,
K2O (mol%),28,37.74,36.01,36.49,35.49,30.56,36.33,35.72,36.37,
K2O (mol%),29,37.81,36.26,36.65,36.30,30.90,36.96,36.82,36.59,
K2O (mol%),30,37.88,36.42,36.81,37.16,31.25,,36.15,36.82,
K2O (mol%),31,37.96,36.59,36.98,,31.63,,36.37,37.05,
K2O (mol%),32,,36.77,37.14,,32.02,,36.59,37.28,
K2O (mol%),33,,36.94,37.31,,32.44,,36.82,,
K2O (mol%),34,,37.12,37.39,,32.88,,37.05,,
K2O (mol%),35,,37.30,37.48,,33.34,,37.28,,
K2O (mol%),36,,37.48,37.56,,33.83,,,,
K2O (mol%),37,,37.66,37.65,,34.34,,,,
K2O (mol%),38,,37.75,37.73,,34.88,,,,
K2O (mol%),39,,,37.82,,35.45,,,,
K2O (mol%),40,,,37.91,,36.05,,,,
K2O (mol%),41,,,,,36.68,,,,
K2O (mol%),42,,,,,37.34,,,,
,,,,,,,,,,
Cumulative PCA results,1,94.41,92.40,93.83,95.77,94.07,94.31,91.61,91.01,97.57
Cumulative PCA results,2,99.70,99.58,99.75,99.69,99.66,99.40,99.27,99.51,99.87
Cumulative PCA results,3,99.94,99.93,99.94,99.92,99.95,99.90,99.89,99.91,99.93
Cumulative PCA results,4,99.96,99.96,99.96,99.95,99.98,99.97,99.97,99.96,99.96
Cumulative PCA results,5,99.98,99.97,99.97,99.96,99.98,99.98,99.97,99.97,99.97
,,,,,,,,,,
Log K3,,-2.16,-2.01,-1.76,-2.43,-2.04,-2.60,-2.41,-2.60,-1.76
