Sample,a,103b,10-5c,RMSD
fu06 dry,59.11,17.68,-15.04,0.174
fu06-07,54.31,24.11,-12.67,0.059
fu06-06,50.69,29.84,-11.57,0.121
fu06-03,53.35,26.41,-11.81,0.047
fu06-04,52.44,30.26,-10.90,0.060
fu06-05,47.85,33.46,-9.98,0.083
fu06-10,48.01,33.56,-10.29,0.073
fu18 dry,59.94,19.89,-15.48,0.075
fu18-04,54.74,27.46,-13.09,0.059
fu18-03,53.56,29.73,-12.28,0.067
fu18-07,55.72,26.26,-13.15,0.078
fu18-01,50.84,33.48,-10.91,0.092
fu18-02,49.41,35.34,-10.71,0.062
fu18-09,48.30,36.66,-10.32,0.074
fu18-05,45.84,40.63,-9.00,0.053
fu18-08,45.26,42.61,-8.87,0.043
sb dry,58.25,16.99,-15.69,0.108
sb-11,55.43,20.25,-14.25,0.093
sb-12,54.29,21.86,-13.31,0.094
sb-16,53.18,23.47,-13.35,0.086
sb-14,49.22,29.38,-11.61,0.172
sb-18,47.42,31.11,-10.20,0.084
sb-17,48.57,31.11,-11.05,0.065
sba dry,62.08,16.45,-16.21,0.135
sba-10,60.07,18.98,-15.09,0.088
sba-11,56.01,23.36,-14.16,0.068
sba-04,54.89,24.89,-13.39,0.090
sba-03,54.40,26.88,-12.53,0.191
sba-07,48.18,35.22,-10.86,0.072
sba-08,47.32,37.37,-10.25,0.049
