KMWPO,KMWPO,RbMWPO,RbMWPO,CsMWPO,CsMWPO,Assignments
IR,Raman,IR,Raman,IR,Raman,Assignments
,1196vw,,1195vw,,1203vw,(PO2)as (Q2)
1140s,,1140s,,1131s,,(PO3)as (Q1) and n 3 (PO4) (Q0)
,1134vw,,1130w,,1133w,(PO2)s (Q2)
,1062w,,1059w,,1064w,(PO3)s (Q1)
,936s,,933s,,931s,n s (WO6)+ n 1 (PO4)
913s,,914s,,911s,,P-O-Pas stretch (Q1)
889s,885sh,886s,884sh,879s,877sh,n as (WO6)
,825w,,819w,,817w,W-O-P stretch
749m,744w,753m,744w,748m,743w,P-O-Ps stretch (Q1)
638w,636w,637w,636w,637w,636w,n 4 (PO4) (Q0) or (P3O9) ring bending (Q2)
594sh,603vw,594sh,601vw,590w,599vw,(PO3) (Q1) bending and n 4 (PO4) (Q0)
551m,559vw,552m,557vw,550m,,(PO3) (Q1) bending and n 4 (PO4) (Q0)
,495w,,498vw,,497vw,(PO3) (Q1) bending and n 2 (PO4) (Q0)
388s,,388s,,381s,,T'(Mg2+)
,379m,,377m,,377m,P-O-W bending
292s,,281s,,281s,,P-O-W bending
,262m,,264m,,260m,P-O-W bending
229s,,225s,,220s,,P-O-W bending
110w,,98w,,80m,,T'(M+)
