Wavenumber (cm-1),Vibrational mode
1124,P-O stretching of PO4 tetrahedra
1100,P-O stretching of PO4 tetrahedra
1048,P-O stretching of PO4 tetrahedra
1023,P-O stretching of PO4 tetrahedra
1000,P-O stretching of PO4 tetrahedra
964,P-O stretching of PO4 tetrahedra
,
820,Ti-O stretching of TiO6 octahedra
785,Ti-O stretching of TiO6 octahedra
712,Ti-O stretching of TiO6 octahedra
,
635,P-O-P bending of PO4 tetrahedra
560,P-O-P bending of PO4 tetrahedra
469,P-O-P bending of PO4 tetrahedra
430,P-O-P bending of PO4 tetrahedra
