Sample,SiO2,Na2O,CaO,Al2O3,Er2O3,Al2O3/SiO2,Na2O/CaO,Na2O/SiO2,CaO/SiO2,Er2O3/SiO2
1AL5ER,69.91,13.9,10.48,0.95,4.76,0.014,1.326,0.199,0.150,0.068
5AL5ER,67.18,13.37,10.09,4.5,4.76,0.067,1.325,0.199,0.150,0.071
10AL5ER,64.08,12.76,9.61,8.77,4.78,0.137,1.328,0.199,0.150,0.075
15AL5ER,61.25,12.2,9.19,12.58,4.78,0.205,1.328,0.199,0.150,0.078
20AL5ER,58.77,11.7,8.82,15.93,4.78,0.271,1.327,0.199,0.150,0.081
,,,,,,,,,,
1AL10ER,66.72,13.28,150,0.91,9.09,0.014,1.328,0.199,0.150,0.136
5AL10ER,64.31,12.76,9.63,4.39,9.09,0.068,1.325,0.198,0.150,0.141
10AL10ER,61.16,12.17,9.17,8.37,9.13,0.137,1.327,0.199,0.150,0.149
15AL10ER,58.44,11.64,8.77,12.01,9.13,0.206,1.327,0.199,0.150,0.156
20AL10ER,56.07,11.17,8.42,15.21,9.13,0.271,1.327,0.199,0.150,0.163
