No.,B2O3 (mol%),R=molar Na2O/B2O3,Peak positions (eV),Peak positions (eV),Peak positions (eV),[4]B (%)
,,,A,B,C,
Na2O-B2O3-SiO2: 50 mol% SiO2,Na2O-B2O3-SiO2: 50 mol% SiO2,Na2O-B2O3-SiO2: 50 mol% SiO2,Na2O-B2O3-SiO2: 50 mol% SiO2,Na2O-B2O3-SiO2: 50 mol% SiO2,Na2O-B2O3-SiO2: 50 mol% SiO2,Na2O-B2O3-SiO2: 50 mol% SiO2
2R,50,0.0,193.93,200.01,203.28,0.9
7,45,0.111,193.93,199.63,202.83,11
6R,40,0.25,193.87,198.66,201.92,28
8,35,0.429,193.87,198.66,201.92,39
5R,30,0.667,193.80,198.26,201.40,54
9,25,1.0,193.73,198.17,201.11,60
4R,20,1.5,193.73,198.16,201.13,71
3R,10,4.0,193.66,198.15,200.95,62
,,,,,,
Na2O-B2O3-SiO2: 60 mol% SiO2,Na2O-B2O3-SiO2: 60 mol% SiO2,Na2O-B2O3-SiO2: 60 mol% SiO2,Na2O-B2O3-SiO2: 60 mol% SiO2,Na2O-B2O3-SiO2: 60 mol% SiO2,Na2O-B2O3-SiO2: 60 mol% SiO2,Na2O-B2O3-SiO2: 60 mol% SiO2
41,40,0.0,193.93,200.07,203.40,0.8
42,30,0.333,193.85,198.78,201.86,33
43,20,1.0,193.80,198.22,201.30,61
44,10,3.0,193.80,198.15,201.14,78
,,,,,,
Na2O-B2O3-SiO2: 70 mol% SiO2,Na2O-B2O3-SiO2: 70 mol% SiO2,Na2O-B2O3-SiO2: 70 mol% SiO2,Na2O-B2O3-SiO2: 70 mol% SiO2,Na2O-B2O3-SiO2: 70 mol% SiO2,Na2O-B2O3-SiO2: 70 mol% SiO2,Na2O-B2O3-SiO2: 70 mol% SiO2
31,30,0.0,194.00,199.88,203.42,1.2
35,25,0.2,193.93,199.21,202.87,14
32,20,0.5,193.87,198.48,201.75,41
34,15,1.0,193.87,198.16,201.37,66
33,10,2.0,193.80,198.02,200.80,70
,,,,,,
K2O-B2O3-SiO2: 50 mol% SiO2,K2O-B2O3-SiO2: 50 mol% SiO2,K2O-B2O3-SiO2: 50 mol% SiO2,K2O-B2O3-SiO2: 50 mol% SiO2,K2O-B2O3-SiO2: 50 mol% SiO2,K2O-B2O3-SiO2: 50 mol% SiO2,K2O-B2O3-SiO2: 50 mol% SiO2
27,45,0.111,193.87,199.57,202.96,8
26R,40,0.25,193.93,199.18,202.92,11
28,35,0.429,193.87,198.29,201.91,41
25R,30,0.667,193.87,198.30,201.60,49
29,25,1.0,193.80,198.01,201.15,61
24R,20,1.5,193.73,198.01,201.08,77
23R,10,4.0,193.70,197.83,200.76,73
