,,r (A),N,s (A),AFAC,DE0 (eV),k-range (  A    -1) fit-index
ZT(10),Ti-O,1.94+-0.02,6,0.074+-0.011,0.52,21.5,3.49-14.97
,Ti-Ti,3.06+-0.03,4,0.084+-0.013,,,30.0
,Ti-O,3.80+-0.04,8,0.074+-0.011,,,
,,,,,,,
ZT(18),Ti-O,1.94+-0.02,6,0.081+-0.012,0.52,21.9,3.50-15.98
,Ti-Ti,3.07+-0.03,4,0.095+-0.014,,,31.5
,Ti-O,3.80+-0.04,8,0.089+-0.012,,,
,,,,,,,
ZT(45),Ti-O,1.92+-0.02,6,0.095+-0.014,0.52,22.5,3.50-13.37
,Ti-Ti,3.14+-0.03,2,0.087+-0.013,,,35.7
,,,,,,,
TiO2 (anatase) XRD [18],Ti-O,1.95,6,,,,
TiO2 (anatase) XRD [18],Ti-Ti,3.04,4,,,,
TiO2 (anatase) XRD [18],Ti-O,3.86,8,,,,
,,,,,,,
Zr0.41Ti0.59O2 ND [17],Ti-O,1.97,6,,,,
Zr0.41Ti0.59O2 ND [17],Ti-Ti,3.07,2,,,,
Zr0.41Ti0.59O2 ND [17],Ti-Zr,3.30,2,,,,
