Glass,Sn2+,Sn2+,Sn2+,Sn4+,Sn4+,Sn4+,Relative amounts,Relative amounts
Glass,D (mm/s),d (mm/s),W (mm/s),D (mm/s),d (mm/s),W (mm/s),%Sn4+,%Sn2+
0.5SnO,1.85,2.77,0.86,0.40,-0.22,0.86,34.6,65.4
1SnO,1.85,2.77,0.86,0.35,-0.23,0.85,43.7,56.3
2SnO,1.86,2.77,0.89,0.39,-0.23,0.81,42.4,57.6
3SnO,1.85,2.79,0.9,0.39,-0.23,0.81,44.5,55.5
,,,,,,,,
0.2SnO2,,,,0.41,-0.20,0.91,100,0
1SnO2,,,,0.44,-0.20,0.87,100,0
2SnO2,,,,0.48,-0.21,0.92,100,0
3SnO2,,,,0.49,-0.21,0.99,100,0
,,,,,,,,
2SnO-FS,1.87,2.80,0.87,0.41,-0.21,0.83,54,46
2SnO-NS,2.00,2.93,1.14,0.49,-0.21,0.94,95.1,4.9
