(n-Bu4N)2Mo2O7,(n-Bu4N)2Mo2O7,(PPN)2Mo2O7,assignment,Na2Mo2O7,Na2Mo2O7,Na2Mo2O7,assignment
(soln. in,(soln. in,crystal,[26],crystal,crystal,crystal,by Poloznikova
MeCN),MeCN),[26],,this work,[20],[17],[63]
this work,[25],,,,,,
,,,,940,942,950,n MoO2(Oct)
,,,,921,922,910,n MoO2(Oct)
,,,,904,905,,n Mo-O(Tet)
884,880,885,n (MoO),881,881,880,n MoO2(Oct)
,,,,864,863,862,
,,,,825,805,825,n MoO3(Tet)
790,786,795,n (Mo-O-Mo),783,,780,
,,,,594,595,600,d MoO4(Oct)
,,,,465,468,465,n Mo-O(Oct)
,,450,n (Mo-O-Mo),364,378,360,d MoO3(Tet)
,,,,,362,,
,,,,,339,333,d MoO3(Oct)
,,,,,314,315,d MoO3(Oct)
,,,,,278,,d MoO2(Oct)
