o'-P2O5,o'-P2O5,ZnP4O11,ZnP4O11,a1-Zn(PO3)2,a1-Zn(PO3)2,a2-Zn(PO3)2,a2-Zn(PO3)2,b-Zn(3)2,b-Zn(3)2,Assignment
IR,Ra,IR,Ra,IR,Ra,IR,Ra,IR,Ra,
1404,1396,1379,1346,,,,,,,n(PO)
1377,1363,1348,1326,,,,,,,
1359,1324,,,,,,,,,
1329,,,,,,,,,,
,,,,,,,,,,
,,1313,1312,1327,1332,1300,,1327,1368,nas(PO2)
,,1290,1297,1306,1305,1281,1239,1288,1351,
,,,,1283,1274,,,1265,1324,
,,,,,,,,1232,1263,
,,,,,,,,,,
(1186),(1179),1205,,1115,1156,1139,1177,1178,1212,ns(PO2)
(1155),(1158),1180,1167,1092,1134,1080,,1136,1141,
,,,,,,1041,1046,1089,1097,
,,,,,,,,1059,1063,
,,,,,,,,,,
970,985,1110,,,,,,,,nas(P-O)Q3
,,1078,,,,,,,,
,,1052,,,,,,,,
,,1020,,,,,,,,
,,,,,,,,,,
,,970,,1045,1043,912,,1034,,nas(P-O)Q2
,,946,,1022,,,,924,,
,,,,,,,,,,
788,795,785,,,812,710,782,785,780,ns(P-O)
754,782,752,749,739,684,,732,770,,
650,,691,673,714,610,,,744,745,
619,616,658,,,,,,725,,
,,631,631,,,,,711,707,
,,,,,,,,,,
522,527,588,,582,,582,572,627,,deformation
494,490,552,527,567,,544,,590,,vibrations
467,447,542,,552,,472,494,559,,
436,432,530,,523,537,,379,546,537,
,394,509,,509,506,,356,505,487,
,307,484,,461,456,,305,461,460,
,,465,463,,437,,,436,437,
,,438,,,402,,,,415,
,,430,406,,383,,,,367,
,,,357,,344,,,,325,
,,,326,,332,,,,,
,,,,,313,,,,,
