Oscillator strengths (10-8),Oscillator strengths (10-8),Oscillator strengths (10-8),Oscillator strengths (10-8),Oscillator strengths (10-8),Oscillator strengths (10-8),Oscillator strengths (10-8),Oscillator strengths (10-8),Oscillator strengths (10-8),Oscillator strengths (10-8),Oscillator strengths (10-8)
I9/2 -,l (nm),GGS,GGS,GGSI,GGSI,GGSB,GGSB,GGSC,GGSC,GGSC
I9/2 -,l (nm),Exp.,Calc.,Exp.,Calc.,Exp.,Calc.,l (nm),Exp.,Calc.
4G7/2 4G9/2,528,,,1404,1739,1643,1817,526,1061,1251
4G5/2 2G7/2,595,6756,6757,6922,6900,6905,6894,591,4634,4622
4F7/2 4S3/2,756,1425,1536,1446,1660,1333,1483,753,949,1089
4F5/2 2H9/2,814,2154,2010,2251,1892,2099,1846,810,1557,1316
4F3/2,890,828,968,878,766,829,837,886,605,578
4I15/2,1662,74,41,67,47,61,41,1659,38,30
4I13/2,2533,367,294,374,323,,,,,
d RMS (10-8),,141,(1.2%),275,(2.1%),198,(1.5%),,195,(2.2%)
,,,,,,,,,,
Judd-Ofelt parameters (10-20 cm2),Judd-Ofelt parameters (10-20 cm2),Judd-Ofelt parameters (10-20 cm2),Judd-Ofelt parameters (10-20 cm2),Judd-Ofelt parameters (10-20 cm2),Judd-Ofelt parameters (10-20 cm2),Judd-Ofelt parameters (10-20 cm2),Judd-Ofelt parameters (10-20 cm2),Judd-Ofelt parameters (10-20 cm2),Judd-Ofelt parameters (10-20 cm2),Judd-Ofelt parameters (10-20 cm2)
O 2,,8.06,,11.3,,10.8,,,7.09,
O 4,,13.7,,11.3,,13.1,,,8.99,
O 6,,6.16,,7.58,,6.79,,,5.03,
