"Glass formulation (P2O5, Fe2O3, Na2O)",Density (g/cm3),DSC (T g oC),EDX P2O5 (mol%),EDX Fe2O3 (mol%),EDX Na2O (mol%)
P33.3Fe0Na66.7 (Na2HPO4),Insufficient glass,n/a,36,0,64
,,,,,
P35Fe5Na60,Insufficient glass,n/a,36,3,62
P35Fe10Na55,Insufficient glass,376,37,10,54
P35Fe15Na50,Insufficient glass,409,37,14,49
,,,,,
P40Fe0Na60,Insufficient glass,282,43,0,57
P40Fe5Na55,2.64,343,42,5,53
P40Fe10Na50,2.72,407,42,9,49
P40Fe15Na45,2.85,427,41,14,45
P40Fe20Na40,2.97,449,41,18,41
,,,,,
P45Fe0Na55,2.52,284,49,0,51
P45Fe5Na50,2.58,337,47,5,48
P45Fe10Na45,2.79,393,47,9,44
P45Fe15Na40,2.89,451,46,14,40
P45Fe20Na35,2.98,481,45,18,36
,,,,,
P50Fe0Na50 (NaH2PO4),2.49,295,54,0,46
P50Fe0.5Na49.5,2.51,302,53,0,46
P50Fe1.5Na48.5,2.51,309,54,1,45
P50Fe2.5Na47.5,2.54,314,53,2,44
P50Fe5Na45,2.61,333,53,5,42
P50Fe7.5Na42.5,2.66,354,52,7,41
P50Fe10Na40,2.75,384,52,9,39
P50Fe15Na35,2.78,439,51,14,35
P50Fe20Na30,2.87,502,49,18,33
P50Fe25Na25,Insufficient glass,n/a,50,22,29
P50Fe30Na20,Insufficient glass,522,49,27,24
P50Fe50Na0 (FePO4 *2H2O),Insufficient glass,n/a,49,48,4
,,,,,
P55Fe0Na45,2.47,278,59,0,41
P55Fe5Na40,2.57,333,58,5,37
P55Fe10Na35,2.63,383,57,10,34
P55Fe15Na30,2.77,431,56,14,30
P55Fe20Na25,2.89,478,55,18,27
P55Fe25Na20,3.02,514,54,23,23
P55Fe30Na15,Insufficient glass,529,53,28,19
P55Fe35Na10,3.10,519,52,31,17
P55Fe40Na5,3.16,506,52,35,13
,,,,,
P55Fe45Na0,Insufficient glass,n/a,52,41,7
,,,,,
P60Fe0Na40,2.47,276,64,0,36
P60Fe5Na35,2.57,320,63,5,32
P60Fe10Na30,2.65,381,62,9,29
P60Fe15Na25,2.73,439,60,14,26
P60Fe20Na20,2.84,481,59,18,23
P60Fe25Na15,2.90,514,59,22,19
P60Fe30Na10,2.97,527,58,26,15
P60Fe35Na5,2.98,512,57,31,12
P60Fe40Na0,3.03,498,56,36,8
,,,,,
P66.7Fe33.3Na0 (Iron pyrophosphate),2.98,495,60,37,3
,,,,,
P70Fe30Na0,2.92,530,65,28,7
