,sb dry,sb dry,,fu06 dry,fu06 dry,,sba dry,sba dry,,fu18 dry,fu18 dry
,T,C P,,T,C P,,T,C P,,T,C P
,K,J/molK,,K,J/molK,,K,J/molK,,K,J/molK
gt,950.7,69.973,gt,948.7,88.258,gt,948.5,72.291,gt,948.1,75.829
gt,960.7,70.270,gt,958.7,97.330,gt,958.7,72.405,gt,958.3,79.498
gt,970.7,71.012,l,968.7,102.80,gt,968.9,72.806,gt,968.4,85.150
gt,980.7,72.402,l,978.7,102.30,gt,979.0,73.497,gt,978.5,92.010
gt,990.7,75.314,l,988.7,100.22,gt,989.1,75.251,gt,988.7,97.430
gt,1001,79.977,l,998.7,99.183,gt,999.3,78.494,l,998.8,98.747
gt,1011,87.961,l,1009,98.873,gt,1009,84.325,l,1009,98.235
gt,1021,97.772,l,1019,98.512,gt,1019,92.797,l,1019,97.127
l,1031,101.01,l,1029,98.378,gt,1030,100.26,l,1029,96.353
l,1041,98.486,l,1039,98.003,l,1040,101.09,l,1039,95.810
l,1051,97.298,l,1049,97.467,l,1050,99.027,l,1050,95.173
l,1061,96.773,l,1059,96.747,l,1060,98.099,l,1060,94.917
l,1071,96.525,l,1069,95.467,l,1070,97.752,l,1070,94.826
l,1081,96.210,l,1079,94.069,l,1080,97.612,l,1080,94.549
l,1091,96.283,l,1089,92.294,l,1090,97.612,l,1090,94.334
l,1101,96.511,l,1099,88.370,l,1100,97.613,l,1100,93.977
l,1111,96.632,l,1109,83.661,l,1110,97.466,l,1110,93.867
l,1121,96.827,l,1119,76.377,l,1120,97.519,c,1120,93.629
l,1131,96.484,l,1129,68.156,l,1130,97.464,c,1130,93.166
l,1141,96.635,l,1139,58.339,l,1140,97.264,c,1140,91.933
l,1151,96.605,c,1149,38.361,l,1150,97.206,c,1150,90.580
l,1161,96.815,c,1159,3.882,l,1160,97.410,c,1160,89.404
c,1171,96.870,c,1169,-42.876,l,1171,97.443,c,1170,88.024
c,1181,96.512,c,1179,-76.975,l,1181,97.382,c,1180,86.454
c,1191,95.930,c,1189,-81.348,l,1191,97.533,c,1191,84.174
c,1201,95.277,c,1199,-57.294,l,1201,97.921,c,1201,79.342
