Sample no.,Temperature (degC),Total thickness (A),Changes in the thickness (A),Changes in the thickness (A),Changes in the thickness (A)
,,,dd(a-Si),dd(void),dd(c-Si)
1,200,441,+15.2,-22.8,+0.9
2,200,406,+11.7,-21.8,+7.9
3,200,400,+9.8,-21.3,+1.1
4,200,317,+3.4,-4.1,-0.3
5,200,190,+8.7,-7.0,+3.9
6,200,175,+0.4,-6.3,-4.7
7,200,136,+1.5,-2.8,+7.9
8,200,111,+0.9,-3.4,+0.2
9,200,67,+1.2,-2.5,-8.7
10,400,295,-17.5,-4.6,+10.6
11,400,181,-5.3,-0.7,+39.0
12,400,181,-4.0,-17.1,+18.1
13,400,177,-17.4,-0.6,+49.1
14,400,14,-7.3,-4.3,-
15,400,12,-1.0,-3.9,-
