Frequency (cm-1),Frequency (cm-1),Frequency (cm-1),Frequency (cm-1),Frequency (cm-1),Assignments
G1,G2,G3,G4,G5,Assignments
329+-8,346+-7,358+-5,348+-4,339+-1,"Coupled vibration of M-O and SiO4 network [a,b]"
425+-8,440+-8,425+-8,425+-5,437+-5,"Out-of-plane motion of bridging oxygen [a,c]"
463+-7,483+-7,494+-6,-,-,Asymmetric deformation of Q4 (rocking of bridging oxygen) [c]
-,-,-,502+-3,500+-4,Si-O-Si bending of four-membered siloxane ring of SiO4 [a]
579,605,624,636,646,"Rocking motion of bridging oxygen in structural units that contain NBO [b,c]"
789+-1,767+-2,750+-3,-,-,"Oxygen bending with some contribution from Si atom [b,c]"
-,886+-1,869+-2,860+-1,860+-1,"Symmetric stretching of Q0 [c,d]"
-,923+-1,931+-7,922+-8,902+-1,"Symmetric stretching of Q1 [c,d]"
961+-1,962+-1,984+-2,978+-2,956+-1,"Symmetric stretching of Q2 [c,d]"
1040+-5,1034+-3,1037+-6,1034+-6,1028+-3,Asymmetric stretching of bridging oxygen in all Q species [b]
1104+-2,1087+-1,1065+-7,1062+-7,1056+-6,"Symmetric stretching of Q3 [c,d]"
1170+-7,1146+-5,1165+-7,1121+-7,-,"Asymmetric stretching of Q4 with Si-O-Si =160deg [a,b,c]"
