,,Lines,PBI A,PBI B,PBI C,PBI D,PBI E,PZI
d iso (ppm Ref. C6F6),+-3 ppm,a,156,157,155,155,153,154
d iso (ppm Ref. C6F6),+-3 ppm,b,48,52,47,46,54,67
d iso (ppm Ref. C6F6),+-3 ppm,c,-12,-8,-16,-14,-12,0
,,,,,,,,
Normalized,+-3,a,8,8,7,5,11,11
intensities,+-10,b,63,63,63,62,68,37
(%),+-10,c,29,29,30,32,21,52
,,,,,,,,
Fluorine ratios (%),,t f,8.2,8.2,8.2,5.2,11.2,11
Fluorine ratios (%),,t u,63.6,63.6,63.6,60.2,67.4,40
Fluorine ratios (%),,t s,28.2,28.2,28.2,34.6,21.4,49
,,,,,,,,
,,(n-n f)/n o,4.60,4.60,4.60,4.40,4.80,3.88
,,n s/n o,2.82,2.82,2.82,3.21,2.32,4.27
