J,LiS-Carb,NaS-Carb,NaS-Oxide,KSi-Carb,RbS-Carb,RbS-Oxide,CsS-Carb,CsS-Oxide
0.2,2.27,,,,,,,
0.3,2.30,,,2.42,2.94,,3.37,
0.4,2.34,2.46,,2.39,,,3.57,
0.5,2.36,,,,3.21,,3.79,
0.538,,,,,3.26,,,
0.587,,,,,3.29,,,
0.6,2.35,,,2.47,,,3.89,
0.639,,,,,3.33,,,
0.7,,,,,3.37,,,
0.75,2.35,,,,,,,
0.754,,,,,3.42,,,
0.765,,,,,,,,4.02
0.8,2.35,2.54,,2.53,,,4.10,
0.818,,,,,3.43,,,
0.9,2.35,,,,3.42,,4.15,
0.923,,,,,3.48,,,
0.94,,,,,,,,4.10
1,2.35,2.56,,2.48,3.44,3.42,4.21,
1.1,2.35,,,,,,4.15,
1.122,,,,,,,,4.16
1.2,2.32,2.56,2.58,2.47,3.46,,4.19,
1.222,,,,,3.50,,,
1.237,,,,,,,,4.22
1.25,2.32,,,,,,,
1.3,2.32,,,,,,,
1.326,,,,,3.49,,,
1.4,,2.53,2.59,2.50,3.48,3.56,4.24,
1.471,,,,,,,,4.23
1.5,2.31,,,,,,,
1.564,,,,,3.53,,,
1.6,2.30,2.49,2.57,,3.54,,,
1.75,2.30,,,,,,,
1.8,2.29,2.53,2.57,,,,,
2,,2.49,,,,,,
2.2,,2.49,,,,,,
