Fe2O3 mol%,1,2,3,4,5
Fe2+/SFex100%,21.164 (2),21.986 (2),19.38 (2),13.28 (2),16.33 (2)
CS (Fe2+) (mm s-1),1.06 (0.01),1.07 (0.01),1.02 (0.02),1.00 (0.02),0.98 (0.02)
QS (Fe2+) (mm s-1),2.24 (0.02),2.31 (0.02),2.07 (0.02),2.03 (0.02),2.00 (0.02)
LW (Fe2+) (mm s-1),0.99 (0.04),0.89 (0.04),0.67 (0.04),0.56 (0.04),0.55 (0.04)
Area (Fe2+) (%),21.16 (2),21.99 (2),19.38 (2),13.28 (2),16.33 (2)
CS (Fe3+ doublet) (mm s-1),0.44 (0.02),0.44 (0.02),0.29 (0.01),0.28 (0.01),0.27 (0.01)
QS (Fe3+ doublet) (mm s-1),0.91 (0.02),0.91 (0.02),0.91 (0.02),0.92 (0.02),0.91 (0.02)
LW (Fe3+ doublet) (mm s-1),1.08 (0.04),1.02 (0.04),0.72 (0.02),0.64 (0.02),0.66 (0.02)
Area (Fe3+ doublet) (%),29.54 (2),44.93 (2),80.62 (2),86.72 (2),83.67 (2)
CS (Fe3+ sextet A) (mm s-1),0.40 (0.02),0.44 (0.02),-,-,-
LW (Fe3+ sextet A) (mm s-1),1.46 (0.2),1.81 (0.2),-,-,-
Area (Fe3+ sextet A) (%),31.75 (2),22.35 (2),-,-,-
CS (Fe3+ sextet B) (mm s-1),0.47 (0.04),0.38 (0.04),-,-,-
LW (Fe3+ sextet B) (mm s-1),2.00 (0.2),2.00 (0.2),-,-,-
Area (Fe3+ sextet B) (mm s-1),17.55 (2),10.74 (2),-,-,-
