,x,N,C,n sh/n T,Z,a (A),T s (K),S,S0
B2O3,1,3,2,1,3,1.36,723,21.52,12.25
SiO2 (quartz),1,4,2,1,4,1.61,844,17.57,10
P2O5,1,4,2,3/4,5,1.52,1000,15.67,8.92
Mg2Al4Si5O18 (cordierite),5/11 (Si),4,2,1,4,1.61,1740,12.46,7.09
,4/11 (Al),4,2.67,1,3,1.74,,,
,2/11 (Mg),6,6,1,2,2.12,,,
MgSiO3 (enstatite),1/2 (Mg),6,6,1,2,2.12,910,10.89,6.20
,1/2 (Si),4,2,1,4,1.61,,,
Al2SiO5 (sillimanite),1/3 (Si),4,2,1,4,1.68,1818,11.22,6.38
,1/3 (Al),4,2.67,1,3,1.74,,,
,1/3 (Al),6,4,1,3,1.92,,,
Al2SiO5 (kyanite),2/3 (Al),6,4,1,0.5,1.92,~473,10.79,6.14
,1/3 (Si),4,2,1,1,1.61,,,
Al2SiO5 (andalusite),1/3 (Al),5,3.33,1,0.6,1.84,1043,10.66,6.06
,1/3 (Al),6,4,1,0.5,1.92,,,
,1/3 (Si),4,2,1,1,1.61,,,
3Al2O3 *2SiO2 (mullite),"2/3 (Al, Si)",4,2.37,1,0.844,1.69,2133,10.46,5.95
,1/3 (Al),6,4,1,0.5,1.92,,,
Mg3Al2Si3O12 (pyrope),3/8 (Si),4,2,1,1,1.61,1500,8.55,4.87
,1/4 (Al),6,4,1,0.5,1.92,,,
,3/8 (Mg),8,8,1,0.25,2.3,,,
Mg2SiO4 (forsterite),2/3 (Mg),6,6,1,0.333,2.12,2183,7.50,4.27
,1/3 (Si),4,2,1,1,1.61,,,
Al2O3 (corundum),1,6,4,1,0.5,1.92,2345,5.14,2.93
MgAl2O4 (spinel),1/3 (Mg),4,4,1,0.5,1.95,2408,5.11,2.91
,2/3 (Al),6,4,1,0.5,1.92,,,
MgO (periclase),1,6,6,1,0.333,2.12,3125,2.46,1.40
