Ln3+ ions,Judd-Ofelt parameters,Judd-Ofelt parameters,Judd-Ofelt parameters,Number of bands used
Ln3+ ions,O 2 [10-20 cm2],O 4 [10-20 cm2],O 6 [10-20 cm2],Number of bands used
Pr3+,-0.66+-0.84,12.49+-0.81,3.17+-0.37,5
Nd3+,3.09+-0.34,5.54+-0.48,4.80+-0.19,11
Sm3+,8.56+-1.60,3.02+-0.67,2.37+-0.17,6
Eu3+,5.57+-0.95,1.74+-0.73,1.44+-0.06,8
Tb3+,-3.24+-8.80,1.10+-0.09,2.04+-0.02,4
Dy3+,6.41+-0.20,1.02+-0.21,2.25+-0.10,9
Ho3+,4.76+-0.11,2.84+-0.68,2.10+-0.39,7
Er3+,5.78+-0.24,1.38+-0.33,1.31+-0.12,11
Tm3+,5.08+-0.28,0.34+-0.23,1.43+-0.07,5
