Glass,Composition (mol%),Composition (mol%),Composition (mol%),Composition (mol%),T f (degC),r (g/cm3),H v (Gpa),E (GPa),K   Ic    ( MPa   m   ),n (403nm),n (632.8nm),n (1541nm)
Glass,CeO2,Al2O3,SiO2,P2O5,T f (degC),r (g/cm3),H v (Gpa),E (GPa),K   Ic    ( MPa   m   ),n (403nm),n (632.8nm),n (1541nm)
10/5/55/40,8.5+-0.2,5.0+-0.6,51.2+-0.6,35.3+-0.5,N/A,2.65+-0.01,4.6+-0.1,80,0.84+-0.04,1.536+-0.001,1.521+-0.001,1.506+-0.001
10/5/45/50,8.6+-0.5,6.4+-1.6,41.1+-1.3,43.9+-0.7,829,2.72+-0.01,4.9+-0.1,83,0.72+-0.06,1.550+-0.001,1.534+-0.002,1.519+-0.002
10/5/35/60,8.6+-0.2,8.7+-0.7,34.4+-0.8,48.3+-0.4,841,2.73+-0.01,5.0+-0.1,86,0.72+-0.03,1.550+-0.001,1.534+-0.001,1.520+-0.001
10/5/25/70,11.3+-0.9,10.4+-0.8,30.9+-1.0,47.5+-0.9,827,2.73+-0.01,4.5+-0.1,86,0.79+-0.03,1.545+-0.001,1.529+-0.001,1.514+-0.001
10/5/15/80,14.0+-0.3,11.8+-0.3,23.9+-0.3,50.4+-0.4,813,2.76+-0.01,4.3+-0.1,87,0.85+-0.05,1.547+-0.001,1.531+-0.001,1.516+-0.001
10/15/35/50,8.6+-0.2,15.3+-0.1,30.9+-0.2,45.2+-0.2,842,2.63+-0.01,4.3+-0.1,87,0.88+-0.07,1.529+-0.002,1.513+-0.002,1.499+-0.002
10/15/25/60,8.8+-0.5,15.7+-0.6,25.2+-0.8,50.4+-0.5,831,2.67+-0.01,4.6+-0.1,89,0.82+-0.04,1.539+-0.001,1.524+-0.001,1.510+-0.001
10/15/15/70,9.4+-0.7,19.1+-1.3,15.7+-0.5,55.8+-0.4,817,2.70+-0.01,4.6+-0.1,93,0.87+-0.05,1.541+-0.001,1.525+-0.001,1.511+-0.001
10/15/0/85,12.8+-0.3,24.3+-0.2,0.1+-0.1,62.9+-0.3,756,2.70+-0.01,4.1+-0.1,96,0.95+-0.05,1.539+-0.002,1.524+-0.002,1.510+-0.002
10/25/15/60,8.1+-0.2,24.6+-0.3,13.7+-0.6,53.6+-0.7,817,2.60+-0.01,4.1+-0.1,94,0.90+-0.07,1.523+-0.002,1.508+-0.002,1.495+-0.002
10/25/0/75,8.2+-0.3,26.7+-0.6,0.1+-0.1,65.0+-0.7,752,2.65+-0.01,4.5+-0.1,98,0.87+-0.04,1.536+-0.003,1.521+-0.002,1.506+-0.002
