Sample,"Composition, at.%","Composition, at.%","Composition, at.%","T g, degS",Conditions of decomposition,Conditions of decomposition
Sample,Ge,S,I,"T g, degS","T, degS","t, h"
GSI-0,28.6,42.8,28.6,140 [7],-,-
GSI-1,29.0,48.9,22.1,282,450,1
GSI-2,26.4,156.3,17.3,316,550,1
GSI-3,30.2,55.0,14.8,342,500,3
GSI-4,30.4,55.0,14.6,349,500,3
GSI-5,29.4,57.0,13.6,351,550,1.5
GSI-6,29.9,57.0,13.1,358,550,1.5
GSI-7,30.9,58.7,10.4,364,550,2
GSI-8,30.2,61.8,8.0,404,500,5
GSI-9,30.1,63.6,6.3,412,550,3
GSI-10,32.1,63.9,4.0,444,550,5
