4I15/2- (10-20 cm2),4I13/2,4I11/2,4I9/2,4F9/2,4S3/2,4H11/2,4F7/2,4F5/2,4F3/2,2H9/2,2G11/2
Panel a,Panel a,Panel a,Panel a,Panel a,Panel a,Panel a,Panel a,Panel a,Panel a,Panel a,Panel a
x =0.05,x =0.05,x =0.05,x =0.05,x =0.05,x =0.05,x =0.05,x =0.05,x =0.05,x =0.05,x =0.05,x =0.05
S   DE   exp,,0.39,0.15,0.70,0.04,3.12,0.33,0.07,0.01,0.14,3.98
S   DE   calc,1.04,0.39,0.22,0.93,0.12,5.00,0.52,0.12,0.07,0.14,6.44
,,,,,,,,,,,
x =0.30,x =0.30,x =0.30,x =0.30,x =0.30,x =0.30,x =0.30,x =0.30,x =0.30,x =0.30,x =0.30,x =0.30
S   DE   exp,,0.43,0.17,0.83,0.05,4.24,0.41,0.07,0.02,0.15,5.65
S   DE   calc,0.88,0.32,0.21,0.84,0.09,4.35,0.45,0.10,0.06,0.12,5.60
,,,,,,,,,,,
x =0.40,x =0.40,x =0.40,x =0.40,x =0.40,x =0.40,x =0.40,x =0.40,x =0.40,x =0.40,x =0.40,x =0.40
S   DE   exp,,0.36,0.14,0.63,0.03,3.41,0.32,0.06,0.01,0.12,4.98
S   DE   calc,0.73,0.28,0.14,0.61,0.08,3.70,0.36,0.08,0.05,0.10,4.76
,,,,,,,,,,,
x =0.50,x =0.50,x =0.50,x =0.50,x =0.50,x =0.50,x =0.50,x =0.50,x =0.50,x =0.50,x =0.50,x =0.50
S   DE   exp,,0.29,0.09,0.51,0.03,2.88,0.24,0.05,0.01,0.11,3.78
S   DE   calc,0.57,0.22,0.12,0.49,0.06,2.91,0.28,0.07,0.04,0.08,3.75
Panel b,Panel b,Panel b,Panel b,Panel b,,,,,,,
Nb2O5 molar fraction x,O 2 (10-20 cm2),O 4 (10-20 cm2),O 6 (10-20 cm2),RMS,,,,,,,
0.025,6.23,1.27,0.54,1.18,,,,,,,
0.30,5.36,1.20,0.44,0.07,,,,,,,
0.40,4.67,0.82,0.38,0.13,,,,,,,
0.50,3.67,0.65,0.29,0.04,,,,,,,
