Glass,r-factor,r (A),n (atoms),s 2 (A2)
HLWMS-11,0.015,2.07 (0.01),4.8 (0.4),0.0109 (0.0016)
HLWMS-8,0.011,2.06 (0.01),5.2 (0.6),0.0124 (0.0022)
HLWMS-2,0.008,2.06 (0.01),4.8 (0.4),0.0114 (0.0017)
HLWMS-15,0.007,2.06 (0.01),4.5 (0.4),0.0095 (0.0014)
HLWMS-12,0.005,2.07 (0.01),4.4 (0.3),0.0087 (0.0011)
C106-G-100A,,,,
Mn-O,0.017,2.06 (0.01),5.0 (0.6),0.0094 (0.0018)
Mn-Mn,,3.48 (0.02),3.1 (0.6),0.0139 (0.0025)
AZ2-G-89C,0.049,2.07 (0.01),4.4 (0.9),0.0071 (0.0032)
AZ2-G-89CS1,0.009,2.07 (0.01),4.9 (0.4),0.0074 (0.0013)
AZ2-G-89CS2,0.028,2.08 (0.01),4.8 (0.7),0.0070 (0.0022)
HLW98-31,0.008,2.07 (0.01),5.0 (0.4),0.0077 (0.0014)
MN48-D,0.007,2.07 (0.01),5.0 (0.4),0.0096 (0.0014)
AZ2-G-16A,0.016,2.07 (0.01),4.8 (0.6),0.0092 (0.0020)
AZ2-G-26A,0.015,2.06 (0.01),4.5 (0.6),0.0102 (0.0022)
HLW98-32A,0.016,2.07 (0.01),4.3 (0.5),0.0078 (0.0018)
HLW98-02,0.010,2.06 (0.02),4.8 (1.9),0.0128 (0.0080)
HLW98-24,0.036,2.09 (0.02),5.1 (2.0),0.0081 (0.0075)
