Batched,Batched,Analyzed,Analyzed,Analyzed,Analyzed,Characteristic temperatures (degC),Characteristic temperatures (degC),Characteristic temperatures (degC),Characteristic temperatures (degC),Thermal stability parameters,Thermal stability parameters,Thermal stability parameters
O/P,Fe/P,O/P,Fe/P,Fe2+/Fetot,Fe/(Na+Fe),Tg,Tx,Tc,TL,KA (K),KW,KH
A-series3.0,0.33,3.04,0.37,0.24,1.00,576,748,780,1210+-7,172,0.14,0.37
A-series3.0,0.23,3.04,0.23,0.31,0.42,447,562,591,1142+-7,115,0.10,0.20
A-series3.0,0.13,3.03,0.13,0.13,0.18,353,451,571,880+-5,98,0.19,0.23
B-series3.1,0.40,3.15,0.42,0.14,1.00,572,730,779,1208+-5,158,0.14,0.33
B-series3.1,0.33,3.10,0.32,0.26,0.59,500,605,622,1099+-5,105,0.09,0.21
B-series3.1,0.23,3.12,0.22,0.26,0.29,403,592,714,930+-6,189,0.26,0.56
B-series3.1,0.13,3.13,0.12,0.24,0.13,344,411,455,961+-4,67,0.09,0.12
C-series3.25,0.50,3.28,0.49,0.15,1.00,527,657,693,1229+-5,130,0.11,0.23
C-series3.25,0.40,3.25,0.38,0.22,0.60,489,577,601,1080+-8,88,0.08,0.17
C-series3.25,0.33,3.24,0.32,0.22,0.39,443,595,618,1029+-6,152,0.13,0.35
C-series3.25,0.23,3.27,0.23,0.27,0.23,382,495,512,1004+-9,113,0.10,0.22
C-series3.25,0.13,3.30,0.15,0.12,0.12,360,427,454,865+-9,67,0.08,0.15
D-series3.4,0.60,3.36,0.58,0.11,1.00,497,620,645,1187+-6,123,0.10,0.22
D-series3.4,0.50,3.38,0.49,0.16,0.65,513,645,669,1043+-5,132,0.12,0.33
D-series3.4,0.40,3.40,0.39,0.18,0.39,476,537,555,1040+-6,61,0.06,0.12
D-series3.4,0.33,3.42,0.32,0.21,0.28,433,503,515,1064+-9,70,0.06,0.12
D-series3.4,0.23,3.43,0.23,0.19,0.17,395,513,530,920+-6,118,0.11,0.29
D-series3.4,0.13,3.44,0.13,0.12,0.08,357,431,456,691+-8,74,0.10,0.28
E-series3.5,0.67,3.48,0.66,0.17,1.00,487,664,713,1138+-8,177,0.16,0.37
E-series3.5,0.60,3.48,0.58,0.20,0.75,502,642,666,1167+-5,140,0.11,0.27
E-series3.5,0.50,3.48,0.48,0.18,0.49,523,603,615,1095+-5,80,0.07,0.16
E-series3.5,0.40,3.50,0.39,0.20,0.33,467,516,537,1080+-5,49,0.05,0.09
E-series3.5,0.33,3.50,0.34,0.19,0.26,438,530,544,956+-5,92,0.09,0.22
E-series3.5,0.23,3.51,0.23,0.14,0.15,403,489,510,839+-9,86,0.10,0.24
