Nr.,n D,n D,n F-n C,n F-n C,r,r
,Experimental,Calculated,Experimental,Calculated,Experimental,Calculated
1,1.60360,1.60672,0.014600,0.0144851,2.66140,2.65818
2,1.61030,1.60952,0.014760,0.0148357,2.70260,2.69878
3,1.62230,1.62159,0.016230,0.0161769,2.70680,2.71068
4,1.61700,1.61610,0.015230,0.0152497,2.71480,2.72039
5,1.63430,1.63051,0.016430,0.0167108,2.73640,2.73412
6,1.64600,1.64111,0.018150,0.0177653,2.72970,2.72492
7,1.61700,1.61743,0.015540,0.0157732,2.69600,2.70140
8,1.63690,1.64007,0.017740,0.0177793,2.72160,2.72061
9,1.66370,1.66042,0.018940,0.0189098,2.81610,2.81718
10,1.63710,1.63734,0.017790,0.0176210,2.74330,2.74040
11,1.66960,1.66952,0.020230,0.0200672,2.78270,2.78536
12,1.64310,1.64674,0.018390,0.0178973,2.80210,2.79908
13,1.65370,1.65558,0.018760,0.0188081,2.78530,2.78837
14,1.65200,1.65267,0.018140,0.0184448,2.73520,2.73601
15,1.66340,1.66469,0.019240,0.0196459,2.92630,2.92484
