Group and vibration,Wave number (cm-1) literature range *,BG,BG,BG-1.5 Ce,BG-1.5 Ce,BG-3.2 Ce,BG-3.2 Ce,BG-10 Ce,BG-10 Ce,BG-13 Ce,BG-13 Ce
Group and vibration,Wave number (cm-1) literature range *,0 days,30 days,0 days,30 days,0 days,30 days,0 days,30 days,0 days,30 days
PO str.(n 3),1250-1100,-,1067vs,-,1063vs,-,-,-,-,-,-
Si-O str.(n 3),1100-1000,1029vs,-,1038vs,-,1027vs,1054vs,1024vs,1041vs,1024vs,1041vs
Si-O str.(2NBO),1085-800,931s,-,919s,-,931s,933sh,935s,932sh,927sh,934sh
P-O str.(n 1),960,-,970sh,-,950sh,-,-,-,-,-,-
C-O str.(n 3),890-800,-,877ms,-,877sh,-,-,-,-,-,-
Si-O (NBO),850-800,851sh,-,852sh,829sh,851sh,806sh,851sh,-,853sh,-
Si-O-Si,1175-710,724w,718vw,716w,717vw,724w,738vw,739w,732sh,720sh,721sh
O-H lib.,633-630,672sh,640w,672sh,-,672sh,668sh,672sh,680sh,676sh,677sh
P-O bend.(n 4),"~600, 571-564",-,604w,-,604w,-,-,-,-,-,-
Si-O-Si bend.(n 4),540-415   ~473,500s,465s,485s,468s,488s,469s,500s,471s,504s,485s
P-O bend.(n 2),,,,,,,,,,,
