,Initial compositionmol% (weighed),Initial compositionmol% (weighed),Initial compositionmol% (weighed),R(Na2O/B2O3),K(SiO2/B2O3),Final compositionmol% (analyzed),Final compositionmol% (analyzed),Final compositionmol% (analyzed)
,Na2O,SiO2,B2O3,R(Na2O/B2O3),K(SiO2/B2O3),Na2O,SiO2,B2O3
1,37.0,21.0,42.0,0.88,0.5,35.2,19.8,45.0
2,31.0,23.0,46.0,0.67,0.5,30.6,23.0,46.4
3,25.0,25.0,50.0,0.50,0.5,24.3,23.2,52.5
4,19.0,27.0,54.0,0.35,0.5,18.1,25.4,56.5
5,40.0,30.0,30.0,1.33,1.0,37.4,30.6,32.0
6,32.0,34.0,34.0,0.94,1.0,29.6,34.9,35.5
7,24.0,38.0,38.0,0.63,1.0,23.4,37.9,38.7
8,16.0,42.0,42.0,0.38,1.0,15.2,42.3,42.5
9,34.0,44.0,22.0,1.55,2.0,32.8,44.5,22.7
10,22.0,52.0,26.0,0.85,2.0,21.1,52.2,26.7
11,10.0,60.0,30.0,0.33,2.0,9.4,59.8,30.8
