Sample,Composition (mol%),Composition (mol%),Composition (mol%),Composition (mol%),Composition (mol%),Composition (mol%),r(g/cm 3)+-0.002,M (g/mol)+-0.05,V (mol/cm)+-0.05,H v (kg/mm2),T g  (degC)+-3,T x  (degC)+-3
Sample,CaO,Al2O3,MgO,SiO2,Er2O3,Yb2O3,r(g/cm 3)+-0.002,M (g/mol)+-0.05,V (mol/cm)+-0.05,H v (kg/mm2),T g  (degC)+-3,T x  (degC)+-3
CASM,58.11,27.11,6.89,7.89,-,-,2.928,67.75,23.14,865+-25,841,1058
CAYB1,57.77,27.15,6.95,7.96,-,0.17,2.960,68.33,23.08,837+-18,813,1029
CAYB3,58.35,26.06,7.02,8.04,-,0.53,3.007,69.04,22.96,814+-29,803,993
CAYB5,58.94,24.97,7.09,8.12,-,0.88,3.057,69.63,22.78,807+-24,788,982
,,,,,,,,,,,,
CAER05,59.33,27.72,4.75,8.25,0.09,-,2.946,68.75,23.34,852+-21,821,1038
CAER1,57.94,26.99,6.94,7.95,0.18,-,2.957,68.27,23.09,831+-23,817,1035
CAER2,57.83,26.94,6.83,8.03,0.37,-,2.973,69.93,23.52,824+-19,822,1018
CAER4,58.69,25.54,6.94,8.10,0.73,-,3.027,69.50,22.96,815+-15,798,1000
CAER6,59.30,24.42,7.01,8.18,1.00,-,3.076,70.02,22.76,800+-20,791,979
CAER7,59.54,23.84,7.16,8.21,1.25,-,3.099,70.30,22.68,793+-19,787,958
CAER8,59.83,23.26,7.20,8.24,1.48,-,3.123,70.95,22.72,781+-23,782,955
,,,,,,,,,,,,
CAER2YB3,58.93,24.96,7.09,8.12,0.37,0.53,3.053,69.74,22.94,785+-10,794,979
CAER2YB4,59.23,24.40,7.13,8.16,0.37,0.71,3.075,70.08,22.79,776+-22,790,976
,,,,,,,,,,,,
CAYB2ER05,58.20,26.34,7.00,8.02,0.09,0.35,2.992,68.86,23.01,815+-14,807,1006
CAYB2ER1,58.34,26.06,7.03,8.04,0.18,0.35,3.002,69.02,22.99,811+-14,798,1006
CAYB2ER2,58.63,25.52,8.08,7.06,0.36,0.35,3.027,69.15,22.84,808+-11,792,983
CAYB2ER3,58.92,24.96,7.09,8.12,0.55,0.35,3.036,69.72,22.96,804+-17,798,969
CAYB2ER4,59.23,24.39,7.13,8.16,0.74,0.35,3.074,70.08,22.80,798+-10,791,972
CAYB2ER5,59.53,23.81,7.17,8.21,0.93,0.35,3.099,70.42,22.72,795+-13,785,969
