Material unit,Irradiation particle,E (MeV),T (degC),Ph (m-2 s-1),S n (eV/m),S e (eV/m),A * f m() [1],B (m-2),C m (m2/Pa),Ref.
HERASIL1,Photon,5.0x10-6,RT,2x1023,0,1.7x10  a,<+-0.0001,-,<1.3x10  b,This work
DURAN,Photon,5.0x10-6,RT,2x1023,0,1.7x10  a,<+-0.0001,-,<1.3x10  b,This work
HERASIL1,e-,2.5,50,2.5x1018,1.9x104,4.4x108,<+-0.0005,-,-,This work
SUPRASIL1,e-,2.5,50,2.5x1018,1.9x104,4.4x108,0.037,>5.8x1024,1.6x10-34,This work
VYCOR,e-,2.5,50,2.5x1018,1.9x104,4.4x108,0.024,1.0x1024,2.9x10-34,This work
DURAN,e-,2.5,50,2.5x1018,1.9x104,4.4x108,0.026,4.4x1023,1.7x10-33,This work
HERASIL1,H,9.2,220,1x1018,4.5x106,1.6x1010,0.025,1.6x1022,1.5x10-32,"[7,14]"
HERASIL1,H,9.2,400,1x1018,4.5x106,1.6x1010,0.037,2.4x1022,2.3x10-32,"[7,14]"
HERASIL1,H,9.2,600,1x1018,4.5x106,1.6x1010,0.0063,4.3x1021,1.9x10-32,"[7,14]"
SUPRASIL1,H,9.2,220,5x1017,4.5x106,1.6x1010,0.034,2.2x1022,1.6x10-32,This work
DURAN,H,9.2,200,6x1017,4.5x106,1.6x1010,0.008,1.8x1021,6.0x10-32,This work
GeO2,H,9.2,70,1.2x1017,4.5x106,1.6x1010,0.015,1.2x1021,3.4x10-31,This work
