Glass ID,Wt% (XRF analysis),Wt% (XRF analysis),Wt% (XRF analysis),Atomic fraction of iron (n Fe),r (at 500K),s 0 (Ocm)-1,W (eV)
Glass ID,P2O5,Fe2O3,MnO,Atomic fraction of iron (n Fe),r (at 500K),s 0 (Ocm)-1,W (eV)
PF-1,46.51,51.93,0.01,0.50,7.57E+04,13.93,0.60
PFM-1,45.92,49.48,3.40,0.47,2.28E+05,18.95,0.66
PFM-2,48.37,44.49,5.60,0.42,1.82E+05,30.72,0.67
PFM-3,45.33,42.46,10.29,0.40,2.90E+05,8.06,0.63
PFM-4,46.21,41.60,11.18,0.39,2.37E+05,16.90,0.66
PFM-5,42.11,42.79,14.02,0.40,9.69E+04,12.85,0.60
PFM-6,45.36,36.91,16.97,0.34,3.79E+05,10.19,0.65
PFM-7,45.22,33.10,20.72,0.31,5.14E+05,6.18,0.64
PFM-8,50.00,29.00,21.00,0.27,7.84E+05,4.10,0.65
PFM-9,45.13,28.85,25.58,0.27,1.00E+06,4.31,0.66
PFM-10,43.65,27.80,27.56,0.26,1.67E+06,2.25,0.65
PFM-11,38.16,22.23,38.10,0.21,1.81E+06,2.33,0.66
PFM-12,56.53,16.67,26.16,0.15,7.57E+07,0.11,0.68
PFM-14,55.07,5.95,38.38,0.05,6.13E+08,-,-
