,Dose (ionscm-2),E (MeV),E nucl (keVcm-3),E elec (keVcm-3)
F1,1.9x1011,1,1.6x1019,5.5x1019
F1,5.8x1011,3.5,1.6x1019,5.5x1019
F1,1.4x1012,7,1.6x1019,5.5x1019
,,,,
F2,6.1x1011,1,5.0x1019,1.7x1020
F2,1.8x1012,3.5,5.0x1019,1.7x1020
F2,4.2x1012,7,5.0x1019,1.7x1020
,,,,
F3,1.1x1012,1,9.0x1019,3.1x1020
F3,3.3x1012,3.5,9.0x1019,3.1x1020
F3,7.6x1012,7,9.0x1019,3.1x1020
,,,,
F4,2.4x1012,1,2.0x1020,6.8x1020
F4,7.3x1012,3.5,2.0x1020,6.8x1020
F4,1.7x1013,7,2.0x1020,6.8x1020
,,,,
F5,6.1x1012,1,5.0x1020,1.7x1021
F5,1.8x1013,3.5,5.0x1020,1.7x1021
F5,4.2x1013,7,5.0x1020,1.7x1021
,,,,
F6,4.6x1013,1,3.8x1021,1.3x1022
F6,1.4x1014,3.5,3.8x1021,1.3x1022
F6,3.2x1014,7,3.8x1021,1.3x1022
