Transition from  4 F 3/2,l (mm),A  JJ '  (s-1),b  JJ '  (%) (J-O),b  JJ '  (%) (exp.)
4 I 15/2,1.85,58.3,0.5,-
4 I 13/2,1.36,1179.0,7.5,8.5
4 I 11/2,1.08,6994.2,44,61.7
4 I 9/2,0.90,7477.2,48,29.8
,,,,
O2=(9.2+-0.2)x10-20 cm 2,O2=(9.2+-0.2)x10-20 cm 2,O2=(9.2+-0.2)x10-20 cm 2,O2=(9.2+-0.2)x10-20 cm 2,
O4=(7.3+-0.3)x10-20 cm 2,O4=(7.3+-0.3)x10-20 cm 2,O4=(7.3+-0.3)x10-20 cm 2,O4=(7.3+-0.3)x10-20 cm 2,
O6=(4.9+-0.1)x10-20 cm 2,O6=(4.9+-0.1)x10-20 cm 2,O6=(4.9+-0.1)x10-20 cm 2,O6=(4.9+-0.1)x10-20 cm 2,
n=2.4,n=2.4,n=2.4,n=2.4,
rmserror=2%,rmserror=2%,rmserror=2%,rmserror=2%,
