Parameter,Glass A,Glass B,Glass C,Glass D,Increasing order of parameter in glasses
n Li-S,3.39(3),3.92(2),3.51(4),3.30(3),"(D,A),C,B"
n P-S,4.28(1),4.25(2),4.49(1),4.10(1),"D,(B,A),C"
n P-I,0.303(4),0.84(1),0.248(5),0.68(1),"C,A,D,B"
n I-P,2.72(4),2.53(3),2.68(5),2.47(3),"(D,B),(C,A)"
Y,1.11,1.33,0.759,0.944,"C,D,A,B"
R,1.00(1),1.00(2),1.73(2),1.05(1),"(A,B,D),C"
X,9.6(3),17.4(5),8.1(3),7.7(3),"(D,C),A,B"
#P/#I,9,3,10.8,3.6,"B,D,A,C"
M 1-M 6,3.95(8)-21(1),6.95(8)-45(1),3.43(7)-10(1),3.96(8)-20(2),"C,(A,D),B"
Average P-S-P chain length,12.0(2),13.2(4),11.6(2),12.9(4),"(C,A),D,B"
Fraction of Li near BS,0.173(6),0.199(6),0.285(8),0.112(7),"D,A,B,C"
evp,4.0(1),2.52(9),3.5(1),2.71(5),"(B,D),C,A"
%Li,0.212,0.235,0.162,0.186,"C,D,A,B"
