"[Na2O], mol%","[CaO], mol%","[MgO], mol%","[Al2O3], mol%","loge (e, dPas)","A, dPas","B, degC","T 0, degC"
5,5,10,5,4.28,1.8746x10-4,22333,635
5,5,10,7.5,4.27,3.3729x10-4,20849,678
5,5,10,10,4.25,3.3492x10-3,15297,858
5,5,10,15,4.00,6.0632x10-4,16737,839
5,10,5,5,4.02,4.3947x10-2,11308,935
5,10,5,10,4.11,3.4562x10-3,15733,831
5,10,5,15,4.03,2.571x10-1,6794,1208
5,15,-,5,3.72,2.80x10-3,14760,823
5,15,-,10,3.84,3.38x10-4,18600,741
5,15,-,15,3.93,2.62x10-6,28270,555
5,-,15,0,3.09,1.4488x10-3,18655,742
5,-,15,5,4.07,1.6094x10-3,17267,733
5,-,15,10,4.27,2.2594x10-3,15311,887
5,-,15,15,3.95,9.2897x10-5,19441,789
