Glass system,O 2,O 4,O 6,t exp,t cal,e,W nr,R(2/1),R(4/1)
PKBAFEu10,8.12,5.79,0,2.46,2.35,1.05,-19,5.29,1.77
PKBAEu10 [5],6.91,5.01,5.76,2.51,2.64,0.95,20,4.55,1.56
PKBAEu10 [5],6.91,5.01,0,,2.68,0.94,26,,
PKBFAEu10 [5],7.13,5.18,5.78,2.52,2.60,0.97,12,4.69,1.50
PKBFAEu10 [5],7.13,5.18,0,,2.65,0.95,19,,
PBEu [11],5.9,1.4,1.8,2.30,2.80,0.82,78,3.16,-
ASEu [12],5.61,3.47,2.91,-,3.70,-,-,3.38,-
Eu3+:ZBLA [13],0.49,4.15,2.76,-,7.35,-,-,-,-
Eu3+:ZBLA [13],0.49,4.15,0,,7.52,-,-,,
PNBYFEu [14],4.9,5.2,4.0,-,3.41,-,-,-,-
PNBYFEu [14],4.9,5.2,0,,3.46,-,-,,
