SiO2 (mol%),Al2O3 (mol%),Na2O (mol%),m D,m C
Panel A,Panel A,Panel A,Panel A,Panel A
51.664,1.731,46.605,1.5162,1.5178
52.769,4.305,42.926,1.5164,1.5168
53.006,4.121,42.873,1.5166,1.5165
53.645,5.945,40.410,1.5150,1.5159
52.716,2.976,44.308,1.5157,1.5168
58.220,6.105,35.675,1.5116,1.5118
57.871,4.260,37.869,1.5120,1.5121
58.609,6.007,35.384,1.5110,1.5114
57.716,2.944,39.340,1.5124,1.5123
57.742,2.942,39.316,1.5124,1.5123
62.586,2.954,34.459,1.5088,1.5079
62.170,1.701,36.129,1.5092,1.5083
61.774,0.653,37.573,1.5094,1.5087
65.741,0.610,33.649,1.5059,1.5051
63.596,6.101,30.303,1.5072,1.5070
63.975,5.939,30.086,1.5070,1.5067
63.304,4.020,32.676,1.5073,1.5073
68.418,6.169,25.412,1.5032,1.5028
67.628,2.882,29.490,1.5049,1.5035
69.075,5.827,25.098,1.5025,1.5022
67.335,1.728,30.937,1.5052,1.5037
67.234,1.449,31.317,1.5047,1.5038
67.574,1.218,31.207,1.5050,1.5035
69.135,2.689,28.175,1.5026,1.5021
69.206,1.776,29.018,1.5030,1.5021
70.598,4.124,25.278,1.5018,1.5008
71.013,3.511,25.476,1.5006,1.5005
70.900,0.579,28.521,1.5029,1.5006
71.310,1.217,27.473,1.5015,1.5002
72.290,2.945,24.765,1.5003,1.4993
72.639,2.982,24.379,1.5000,1.4990
72.265,1.713,26.021,1.5007,1.4994
73.340,3.958,22.702,1.4988,1.4984
74.371,5.747,19.882,1.4970,1.4975
74.032,0.585,25.384,1.4984,1.4978
75.766,2.837,21.397,1.4957,1.4963
75.614,0.584,23.802,1.4970,1.4964
76.335,1.802,21.863,1.4955,1.4957
75.838,0.638,23.524,1.4960,1.4962
76.140,1.197,22.664,1.4952,1.4959
77.299,3.101,19.600,1.4934,1.4949
77.479,2.916,19.605,1.4935,1.4947
77.017,1.711,21.272,1.4949,1.4951
78.521,0.554,20.925,1.4926,1.4938
,,,,
Panel B,Panel B,Panel B,Panel B,Panel B
59.719,14.943,25.338,1.5110,1.5105
62.859,6.464,30.676,1.5070,1.5077
70.898,6.190,22.912,1.4990,1.5006
60.710,5.438,33.852,1.5090,1.5096
50.072,5.778,44.151,1.5190,1.5192
75.900,1.638,22.462,1.4973,1.4961
75.312,2.573,22.114,1.4967,1.4967
74.840,4.193,20.967,1.4952,1.4971
75.443,5.519,19.038,1.4944,1.4965
