% GeS2 (mol%),% P2S5 (mol%),n D,l vis (nm),T g (degC),T s (degC),a (ppm/degC),r (g/cm3),V mol (cm3/mol)
90,10,2.23,501,353,485,15.8,2.641,16.18
83.3,4.2,2.29,512,331,466,15.6,2.801,16.09
83.3,8.3,2.26,508,337,458,16.3,2.722,16.06
83.3,10,,506,,,,2.688,16.06
83.3,12.5,2.24,508,315,433,17.2,2.636,16.09
83.3,16.7,2.22,506,300,433,18.5,2.558,16.09
78.3,4.3,2.31,520,317,421,16.5,2.823,16.04
72.7,9.1,2.32,526,280,395,18.8,2.767,15.93
70,10,2.24,523,270,372,18.3,2.767,15.90
66.7,5,2.38,535,278,373,17.8,2.874,15.89
66.7,10,2.33,527,265,370,18.6,2.783,15.87
66.7,14.3,2.32,528,282,360,19.6,2.701,15.90
66.7,20,2.29,524,257,337,20.9,2.610,15.87
66.7,33.3,2.20,,218,,27.7,2.373,16.07
60,10,2.37,536,253,350,19.2,2.814,15.82
55,10,2.41,541,252,,,2.841,15.76
50,5,2.41,554,248,331,,2.948,15.73
50,10,2.40,547,239,324,21.3,2.855,15.76
50,15,2.35,538,228,311,21.4,2.781,15.71
50,20,2.33,533,225,303,22.8,2.702,15.70
50,25,2.31,527,218,293,24.0,2.619,15.74
