Temperature (degC),a 0 (m),n s (m-3),k H (m/s)
Growth,Growth,Growth,Growth
850,6.51x10-5,8.33x1010,6.94x10-8
900,7.28x10-5,4.84x1010,7.62x10-8
950,7.92x10-5,2.82x1010,1.33x10-7
990,8.15x10-5,1.83x1010,1.93x10-7
1010,8.08x10-5,1.47x1010,1.73x10-7
1050,7.01x10-5,9.56x10-9,5.85x10-7
,,,
Dissolution,Dissolution,Dissolution,Dissolution
1078,0.00x10-5,4.84x1010,2.84x10-7
1115,-4.54x10-5,4.84x1010,3.96x10-7
1125,-4.93x10-5,4.84x1010,3.22x10-7
1150,-5.71x10-5,4.84x1010,9.35x10-7
1200,-6.88x10-5,4.84x1010,1.81x10-6
1200,-6.88x10-5,4.84x1010,2.75x10-6
