,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,MnO,TiO2,P2O5,Cl,SO3
VA05,63.1,18.7,4.31,"5,75",3.55,2.06,"1,05",n.d.,n.d.,n.d.,0.87,0.49
(1),(0.2),(0.1),(0.09),(0.05),(0.08),(0.05),(0.08),n.d.,n.d.,n.d.,(0.04),(0.05)
VA08,59.8,18.7,3.85,5.53,7.97,2.1,0.74,n.d.,n.d.,n.d.,0.91,0.3
(2),(0.2),(0.1),(0.03),(0.09),(0.05),(0.1),(0.04),n.d.,n.d.,n.d.,(0.05),(0.1)
VA09,61.5,18.4,4.03,4.9,8.02,1.30,0.46,n.d.,n.d.,n.d.,1.06,0.3
(2),(0.1),(0.1),(0.07),(0.1),(0.04),(0.07),(0.03),n.d.,n.d.,n.d.,(0.05),(0.1)
VA10,62.5,16.3,4.09,6.44,5.21,2.7,0.83,n.d.,0.23,0.28,0.84,0.6
(1),(0.2),(0.1),(0.06),(0.08),(0.01),(0.1),(0.05),n.d.,(0.05),(0.08),(0.02),(0.1)
VA17c,59.0,18.3,5.14,7.39,4.68,2.6,1.35,n.d.,n.d.,n.d.,0.79,0.7
(1),(0.3),(0.1),(0.07),(0.08),(0.04),(0.1),(0.06),n.d.,n.d.,n.d.,(0.01),(0.1)
VA22,59.1,19.6,3.55,5.72,8.21,1.79,0.61,n.d.,n.d.,n.d.,1.12,0.26
(2),(0.1),(0.1),(0.04),(0.06),(0.06),(0.04),(0.07),n.d.,n.d.,n.d.,(0.09),(0.08)
VA30,59.7,17.3,3.4,8.11,8.18,0.95,0.40,0.65,0.22,n.d.,0.66,0.4
(2),(0.2),(0.1),(0.1),(0.03),(0.05),(0.06),(0.09),(0.06),(0.07),n.d.,(0.06),(0.1)
VA35c,64.2,18.1,4.1,4.8,4.64,1.99,0.84,n.d.,n.d.,n.d.,0.78,0.47
(1),(0.1),(0.2),(0.1),(0.1),(0.05),(0.01),(0.07),n.d.,n.d.,n.d.,(0.04),(0.08)
VA46,61.4,17.0,4.39,6.74,3.50,3.21,1.72,n.d.,0.32,0.38,0.82,0.55
(1),(0.1),(0.1),(0.04),(0.05),(0.01),(0.05),(0.02),n.d.,(0.06),(0.05),(0.03),(0.03)
VA63,60.3,17.0,4.83,6.31,3.90,2.16,1.20,2.37,0.24,0.36,0.67,0.66
(1),(0.1),(0.1),(0.04),(0.01),(0.02),(0.04),(0.01),(0.04),(0.02),(0.04),(0.02),(0.03)
VA70,63.5,17.3,3.36,7.09,5.61,0.87,0.36,0.41,n.d.,0.28,0.84,0.47
(neither),(0.3),(0.1),(0.07),(0.08),(0.07),(0.03),(0.09),(0.04),n.d.,(0.06),(0.03),(0.07)
VA74,61.8,18.0,3.54,6.7,5.49,2.20,0.79,n.d.,n.d.,n.d.,1.05,0.5
(neither),(0.1),(0.1),(0.03),(0.1),(0.01),(0.08),(0.06),n.d.,n.d.,n.d.,(0.05),(0.1)
VA80,62.6,17.6,3.5,6.12,4.08,2.3,1.07,1.15,0.14,n.d.,0.98,0.43
(1),(0.2),(0.1),(0.1),(0.09),(0.03),(0.1),(0.02),(0.01),(0.09),n.d.,(0.07),(0.06)
VA83,63.8,15.3,4.2,7.4,4.46,2.13,1.01,n.d.,n.d.,0.35,0.96,0.40
(1),(0.2),(0.1),(0.10),(0.1),(0.04),(0.07),(0.09),n.d.,n.d.,(0.01),(0.04),(0.04)
VA89,60.6,18.4,3.28,5.9,7.34,2.11,0.75,n.d.,n.d.,n.d.,1.10,0.5
(2),(0.4),(0.1),(0.02),(0.1),(0.01),(0.03),(0.03),n.d.,n.d.,n.d.,(0.02),(0.1)
