Oxides (wt%),Sample description (sample no.),Sample description (sample no.),Sample description (sample no.),Sample description (sample no.),Sample description (sample no.),Sample description (sample no.),Sample description (sample no.),Sample description (sample no.)
Oxides (wt%),Fragment from the black/white glass mosaic in the center of MF2 (1),Fragment from the black/white glass mosaic in the center of MF2 (1),Green glass from the outermost decorative band of MF2 (3),Green glass from the outermost decorative band of MF2 (3),Red glass from the outermost decorative band of MF2 (4),Red glass from the MF1 (7),Blue pine-tree in white glass from MF1 (9),
Oxides (wt%),Point 1,Point 2,Point 1,Point 2,Point 1,Red glass from the MF1 (7),Blue pine-tree in white glass from MF1 (9),Point 2
SiO2,43.98+-0.40%,56.48+-0.33%,49.21+-0.43%,49.82+-0.50%,16.08+-1.07%,23.80+-0.72%,66.81+-0.35%,65.12+-0.42%
PbO,14.10+-3.45%,9.96+-1.57%,17.15+-1.25%,15.98+-1.56%,42.87+-0.75%,30.21+-0.83%,3.71+-4.37%,2.35+-7.75%
Al2O3,11.11+-1.19%,4.38+-1.99%,8.84+-1.39%,8.29+-1.73%,2.17+-6.03%,2.79+-3.94%,7.90+-1.51%,8.28+-1.72%
CuO,4.26+-2.60%,3.64+-2.52%,3.70+-2.84%,4.41+-3.02%,11.80+-1.45%,23.11+-0.86%,2.71+-3.48%,3.26+-4.16%
CaO,5.47+-1.26%,5.87+-1.03%,5.86+-1.21%,6.29+-1.37%,10.25+-1.01%,7.59+-1.04%,9.11+-0.9%,9.35+-1.0%
Fe2O3,-,10.20+-1.03%,5.53+-1.76%,5.82+-2.04%,1.11+-7.89%,1.15+-6.72%,2.74+-2.93%,4.23+-2.72%
P2O5,-,5.17+-1.81%,8.72+-1.44%,8.47+-1.76%,15.72+-1.05%,10.24+-1.24%,0.79+-12.04 %,-
Na2O,-,3.57+-5.10%,-,-,-,-,4.50+-5.02%,4.40+-5.98%
K2O,-,0.75+-4.69%,-,-,-,-,0.93+-4.63%,1.34+-4.10%
Mn2O3,-,-,-,-,-,-,0.39+-14.10%,0.34+-21.47%
MgO,-,-,-,-,-,-,-,0.80+-16.28%
TiO2,-,-,0.99+-6.57%,0.93+-8.34%,-,-,-,-
Cl,-,-,-,-,-,1.09+-4.22%,0.40+-9.49%,0.53+-8.73%
