n (cm-1),Assignments,Relative areas dependence of vibrational bands versus V2O5 concentrations (x mol%),Relative areas dependence of vibrational bands versus V2O5 concentrations (x mol%),Relative areas dependence of vibrational bands versus V2O5 concentrations (x mol%)
n (cm-1),Assignments,0.5,5,20
530,Bending vibrations of PO4 polyhedra,5.2,1.9,0.01
606,(P-O)symstretch. Q0,0.7,0.8,1
705,(POP)symstretch. Q2,11.7,11.7,-
780,(POP)asymstretch. Q2,12.7,6.5,6.5
900,Symmetric stretching vibrations of V-O-V and O-V-O linkages,-,3,47.7
970,(PO4)symstretch Q0 and (VO)symstretch,5.57,11.2,24.7
1038,(PO3)2- asymstretch,7.9,18.6,11.9
1145,(PO2)symstretch Q2,23.5,28.3,7.5
1172,Strained (PO2)symstretch,8.36,-,-
1260,(PO)symstretch,10.7,7.8,0.6
