Composition (mol%),Composition (mol%),Composition (mol%),Melting conditions,Melting conditions,Density (g/cc),Young's modulus (GPa),e f (%) at 4000 mm/s,e f (%) at 50 mm/s,Strength (GPa)
Na2O,A12O3,SiO2,Temp (degC),Time (h),Density (g/cc),Young's modulus (GPa),e f (%) at 4000 mm/s,e f (%) at 50 mm/s,Strength (GPa)
25,0,75,1300,6:30,2.4299+-0.0007,56.18+-0.33,20.85+-0.12,21.99+-0.10,11.71
25,5,70,1300-1400,11:30,2.4504+-0.0015,60.28+-0.34,19.48+-0.08,19.90+-0.11,11.74
25,10,65,1300-1450,10:00,2.4663+-0.0014,63.64+-0.37,17.81+-0.09,17.94+-0.12,11.33
25,15,60,1500,15:00,2.4768+-0.0015,67.34+-0.33,15.87+-0.11,15.87+-0.10,10.69
25,20,55,1550,17:00,2.4853+-0.0008,69.47+-0.28,15.17+-0.08,15.18+-0.09,10.54
25,25,50,1600,19:00,2.4923+-0.0014,70.98+-0.33,14.74+-0.09,14.78+-0.11,10.46
25,30,45,1600,23:45,2.5152+-0.0010,74.91+-0.17,14.42+-0.11,14.22+-0.09,10.80
25,32.5,42.5,1600,12:00,2.5263+-0.0002,76.72+-0.15,13.71+-0.08,13.45+-0.06,10.52
25,35,40,1650,7:00,2.5386+-0.0009,78.51+-0.30,-,-,-
