Sample,%N,%Na,%K,%Ca,%Mg,%Al,%Fe,%Si,%O
US552-1 (flat glass),0.6,2.4,0,2.9,0.4,2.9,0.1,19.6,71.1
US554-1 (flat glass),5.4,1.5,0,1.2,0,2.5,0.9,19.9,68.6
US552-2 (flat glass),1.5,1.8,0,2.6,1.6,2.6,1.4,19.5,69.0
US554-2 (flat glass),1.2,2.4,0,1.8,0,2.8,0.8,22.6,68.4
US554-4 (flat glass),0,3.1,0,2.2,0.8,2.0,0.9,19.4,71.6
US555-1 (flat glass),0,2.1,0,1.7,0,2.3,0.3,25.6,68.0
US552-36 (decorated chalice),1.3,0.9,0,3.7,0,3.7,0.5,21.3,68.6
US552-5 (decorated chalice),1.6,0.7,0,2.1,0.8,3.2,0.9,19.4,71.3
US554-19 (decorated chalice),1.2,1.2,0.7,1.7,0.6,3.4,0.4,20.9,69.9
US552-6 (undecorated chalice),0,0.8,0.1,2.7,0,4.4,0,22.7,69.3
US552-7 (undecorated chalice),0,0.6,0,2.5,0,4.5,0,22.9,69.5
